SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT07R,DA0708DR07R,DADC407R,DA0GR07N,DAGC407R,DA311TA08R,DA311TR08R,DA311TW08R,DA311TM08R,DA311TC08R,DA311TS08R,DB311TA08R,DH311TA08R,DW311TA08R,DO311TA08R,DE311TA08R,DACTA08R,DA0CT07R,DA0CC07R,DA0CS07R,DA0CA07R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Bloomburg,034909,034 CASS,08,AA,2,277,4,1,95,0,56.3,0,19,0,48,4,93.7,0,10.5,17,84.2,65,89,.,79,49,87,50,.,67,.,59,89,.,30.8,.,19.8,38,26,1,3,3,68,7,18,50000,53500,49648,38148,3,7.3,10.8,23.4,12.5,19.5,32.2,4,0,96,0,73,10,5,0,11,1,111036,1.170000,2682990,11417,76,18,6,584269,27,2374972,2344242,9975,56,16,6,11,10,1321193,5622,61,14,14,0,5,0,4,1
Dimmitt,035901,035 CASTRO,16,AA,3,1115,2,80,18,0,73,17,7,16,22,3,95.5,0,8.6,59,80,61,87,91,73,60,90,54,57,78,60,56,83,58.2,15.6,.,18.8,208,97,2,2,7,47,16,26,69007,59153,45246,38014,38,5.4,11.5,37,12.3,12,25.1,0,14,86,0,79,4,3,4,7,2,164735,1.370000,12084937,10761,54,27,19,3303761,35,11173509,10610337,9448,56,8,5,11,20,5927112,5278,49,15,24,2,5,0,4,0
Hart,035902,035 CASTRO,16,AA,2,305,1,93,5,1,83.3,6,6,6,22,4,96.9,0,4.2,23,95.8,54,85,89,67,53,84,.,54,50,.,51,79,66.7,0,.,17.1,62,31,2,3,3,50,17,25,49667,60078,39240,39837,48,4.9,9.7,35.7,13,10.3,34.2,0,19,78,3,77,6,6,0,9,2,188640,1.040000,3705602,11029,58,26,16,440115,15,3459926,3314154,9864,54,9,5,10,22,1779185,5295,56,7,26,1,5,0,4,0
Nazareth,035903,035 CASTRO,16,RE,1,233,1,7,85,7,24.9,0,4,0,25,6,98.4,0,4.3,22,95.7,86,96,97,88,92,96,.,42,89,91,69,100,90.9,65,.,24.7,32,20,3,2,0,64,0,31,60000,54600,.,39793,0,7.3,11.4,19.8,12.1,9,18.7,0,0,100,0,78,6,0,0,12,4,110010,1.305000,2409831,10083,70,26,4,304703,15,2074156,1870572,7827,55,9,7,12,18,1019801,4267,71,2,7,0,14,0,7,0
Anahuac,036901,036 CHAMBERS,04,AA,6,1415,21,24,54,2,50.2,8,11,8,18,7,95.6,0,5.1,72,91,81,95,98,87,82,94,62,75,90,.,72,87,59.4,18.4,944,19.7,191,103,2,3,4,54,12,25,88990,60100,54910,41829,26,7.4,13.7,33.4,11,8.7,21.6,10,4,86,1,75,8,6,2,3,5,204475,1.167000,13489927,9427,51,40,9,3975240,37,13945877,11608278,8112,53,8,6,12,21,6162587,4306,64,11,12,2,4,1,7,0
Barbers Hill,036902,036 CHAMBERS,04,RE,8,3701,4,15,80,1,18.2,2,7,2,14,4,96,0.2,4,208,89.9,87,96,98,92,90,97,70,82,89,93,76,94,62.2,27.2,991,22.6,516,252,1,3,6,49,10,31,90138,71493,57427,51509,13,7.2,14.7,19.7,14,23.9,12.2,1,2,97,0,78,7,4,1,3,6,811307,1.330000,43829016,12367,14,83,3,6562657,15,56441322,30352932,8565,54,6,5,14,21,16264628,4589,67,12,6,2,4,6,4,0
East Chambers,036903,036 CHAMBERS,04,AA,5,1256,11,24,64,1,46.7,14,12,14,34,7,96.6,0,0,74,98.6,75,92,91,83,78,95,56,66,79,.,65,95,59.4,9.8,915,18.3,160,91,1,3,8,57,8,24,100882,73205,54245,41933,13,7.9,13.8,30.8,11.6,12.1,7.9,1,5,93,0,68,11,8,2,5,5,201238,1.040000,11519801,9223,58,34,8,3199819,34,9585596,9294154,7441,55,6,5,13,20,5127041,4105,68,12,10,1,4,0,5,1
Alto,037901,037 CHEROKEE,07,AA,3,683,31,23,46,0,70.1,15,11,14,26,5,96.5,1,22,37,74,71,91,92,80,73,89,51,73,83,.,64,97,70,9.5,979,18.6,116,63,2,2,6,54,15,21,64950,60045,44795,40356,24,5.9,10.9,36.6,13.7,5.5,22.4,15,0,85,0,86,6,0,1,5,1,184911,1.094000,7012181,9989,64,28,9,853885,16,6254508,5867384,8358,61,7,5,10,17,3569403,5085,64,8,16,3,3,0,7,0
Jacksonville,037904,037 CHEROKEE,07,AA,8,4901,21,40,39,1,73.3,22,11,21,16,4,94.9,0,14.4,227,77.2,73,91,95,81,71,88,62,66,84,83,68,77,59.4,19.6,1031,19.3,785,352,1,4,8,45,16,26,81646,51114,50491,40346,24,6.2,13.9,38.9,11,15.7,19.7,5,5,90,0,70,9,0,13,4,3,171257,1.118000,41079680,8292,56,31,13,6154120,18,39212361,36733581,7415,56,6,6,11,22,20549688,4148,51,16,16,10,3,0,3,1
Rusk,037907,037 CHEROKEE,07,AA,5,2018,16,12,71,1,51.7,4,12,4,26,5,96,0,12.1,100,84.5,76,92,90,86,79,93,57,67,80,89,68,88,47.3,17.1,988,20,279,152,1,3,6,54,13,22,78998,67102,47211,38011,10,7.2,13.3,32.5,12.9,15.1,16.5,3,3,93,1,66,10,16,1,4,3,160002,1.158000,18086519,9112,54,32,14,1356092,10,16152448,14938372,7526,55,6,6,11,21,8264153,4163,50,25,16,1,4,0,4,1
New Summerfield,037908,037 CHEROKEE,07,AA,1,438,6,81,14,0,93.4,46,9,37,29,2,96.3,0,0,13,85.7,62,84,93,76,55,75,58,60,76,.,62,70,54.5,16.7,.,.,78,46,1,1,4,59,11,23,80387,62100,47653,35392,21,5.6,9.5,50,9.4,28.3,23.8,2,2,96,0,80,7,0,8,6,0,81804,1.040000,6094707,13574,68,23,9,1846166,43,4503003,4060912,9044,57,8,4,15,16,2300377,5123,61,7,23,3,4,0,2,0
Wells,037909,037 CHEROKEE,07,AA,2,345,16,8,76,0,63.5,3,11,3,25,5,95.4,0,0,17,100,66,89,80,75,72,83,50,57,70,.,57,95,42.9,16.7,993,.,45,29,2,3,8,65,11,11,78851,46184,36066,38027,4,7.7,11.8,34.3,10.4,2.2,36.4,0,3,97,0,76,8,8,0,7,2,128237,1.040000,3377370,10360,71,22,7,237729,8,2685862,2391207,7335,60,9,6,12,13,1425931,4374,59,16,16,1,4,0,3,0
Childress,038901,038 CHILDRESS,16,RE,3,1127,8,33,58,2,52.2,3,13,3,29,7,95.7,0,2.7,72,97.3,74,94,93,82,79,96,78,67,77,92,68,94,90,20.4,.,19.7,213,99,1,3,3,46,20,27,77087,56695,49030,40540,17,5.3,11.4,22.4,14.4,17.6,13.4,1,3,96,0,76,11,3,1,9,0,149362,1.131000,13665575,11670,57,35,8,1951493,20,15537751,12106000,10338,59,6,4,17,15,7077906,6044,58,13,14,1,8,0,5,1
Byers,039901,039 CLAY,09,AA,1,105,1,6,91,3,48.6,0,14,0,43,6,95.4,0,14.3,10,85.7,70,97,.,81,69,96,.,80,67,.,73,73,70,14.3,.,21,23,12,4,4,0,53,13,26,62424,60644,.,39883,0,4.5,8.4,32,16.4,16,27.6,0,0,100,0,77,4,8,0,10,0,196076,1.240000,1353472,11186,66,25,10,353202,31,1309175,1224343,10119,58,11,7,12,12,712547,5889,70,9,8,0,10,1,3,0
Henrietta,039902,039 CLAY,09,AA,3,980,1,6,91,2,29.8,0,14,0,26,5,95.9,0,7.9,67,86.8,74,96,95,82,73,90,.,63,74,71,63,89,63.6,14.3,998,21.6,151,83,2,4,5,55,13,22,74396,54570,43384,42674,7,6.5,11.8,16.9,16.2,6.9,7.7,1,1,95,3,79,11,4,0,5,1,304717,1.310000,11891118,11856,40,47,13,2619725,32,12390061,9367959,9340,59,7,6,8,21,5495573,5479,53,30,8,0,4,0,4,0
Petrolia,039903,039 CLAY,09,RE,3,470,0,7,90,3,50.9,1,12,1,34,10,96.1,0,4.5,40,90.9,81,97,98,86,83,94,.,72,83,40,81,97,66.7,12.5,.,21.1,75,38,3,5,2,50,14,26,62500,54861,36853,37768,2,6.2,12.4,21.1,11.4,12.2,8.1,0,3,97,0,83,2,7,0,8,0,169650,1.257000,4685588,9802,62,29,8,755537,19,4581203,4068490,8511,51,9,6,15,19,2058057,4306,62,10,13,0,7,0,8,0
Bellevue,039904,039 CLAY,09,AA,1,180,0,1,99,1,31.7,0,10,0,43,2,96.6,0,0,16,100,70,93,88,82,64,.,.,.,70,.,58,100,61.5,62.5,1093,24.2,32,17,3,3,2,54,22,16,72000,56000,47770,41247,0,5.7,10.4,17.4,18.3,4.6,16.4,0,0,100,0,86,6,0,0,9,0,217470,1.040000,1707660,9331,58,34,7,562151,37,1574306,1456684,7960,61,11,4,10,14,884927,4836,64,11,12,0,10,0,3,0
Midway,039905,039 CLAY,09,AA,1,102,0,9,91,0,23.5,0,15,0,49,5,96.5,0,0,13,100,62,92,.,88,55,80,.,60,62,.,67,88,66.7,50,1072,.,27,17,4,3,1,62,11,19,75350,47500,43782,40189,4,3.8,6.2,26.5,14.5,12.7,17.3,0,0,100,0,83,5,3,0,10,0,686654,1.040000,1498931,13383,29,67,4,285190,19,1548236,1434952,12812,58,12,8,7,14,833907,7446,64,11,10,0,11,1,4,0
Morton,040901,040 COCHRAN,17,AA,4,459,5,73,22,0,84.5,15,12,15,46,5,95.6,0,0,28,90.9,55,84,81,69,56,82,63,49,72,.,49,72,47.6,10,.,16.6,111,53,2,4,5,48,24,17,69381,63406,40144,40627,31,4.1,8.6,24.4,14,20.4,14.3,4,6,91,0,73,5,3,5,14,0,127970,1.040000,6766634,13346,54,29,18,1793841,35,6608615,6121846,12075,55,7,7,12,20,3376195,6659,46,7,24,1,5,0,4,14
Whiteface Cons,040902,040 COCHRAN,17,AA,4,342,2,32,64,2,54.4,6,9,6,36,7,97.6,0,5.1,37,87.2,73,93,97,84,73,96,60,61,79,.,68,97,93.8,13.3,1022,18.9,73,45,3,3,5,61,5,23,78674,67131,50786,44967,14,4.7,7.6,12.9,18.9,26.4,10.6,0,4,96,0,87,4,0,0,7,2,1943849,1.040000,7290381,22227,12,84,4,3008086,34,6331593,5894581,17971,50,15,6,12,17,2967457,9047,71,9,11,0,5,1,3,0
Bronte,041901,041 COKE,15,AA,4,345,0,26,74,0,44.9,6,14,6,39,11,96.7,0,0,16,59.3,75,93,95,89,74,88,.,72,75,.,62,61,64.3,22.2,.,20.8,72,46,3,3,3,64,6,22,76192,77325,46717,40992,6,4.8,7.5,19.5,14.8,11.1,19.2,0,2,96,2,64,14,10,3,7,2,222941,1.040000,7911338,14332,76,18,7,1445891,21,6096566,5398972,9781,57,9,8,8,17,3097205,5611,43,24,19,2,5,0,6,0
Robert Lee,041902,041 COKE,15,RE,5,254,0,28,71,0,52,3,9,3,41,5,96,0,8.3,22,87.5,73,97,95,80,78,95,.,60,80,.,68,100,83.3,6.7,.,19.1,46,28,2,1,1,62,7,28,72100,56472,45820,41690,19,5.5,9,17.7,14.3,24.8,19.9,0,4,96,0,82,5,0,1,11,0,615677,1.040000,3398563,12922,31,64,5,1139019,40,2783732,2589348,9845,54,14,6,12,14,1394451,5302,59,12,13,0,10,0,5,0
Coleman,042901,042 COLEMAN,15,AA,3,988,3,24,72,1,58.4,3,10,3,31,5,96.8,0,2.7,73,94.6,74,91,98,82,75,89,67,63,78,.,62,92,69.4,25.6,1019,18.9,170,84,1,3,9,49,14,24,66815,55291,43229,40219,12,5.8,11.7,16.8,15.3,6.9,15.1,1,4,96,0,82,8,2,0,6,2,102694,1.240000,9716352,9795,68,20,12,1940077,25,10458427,8701824,8772,56,8,5,12,19,4902234,4942,56,11,17,1,5,3,6,2
Santa Anna,042903,042 COLEMAN,15,AA,3,281,6,27,66,1,70.1,3,15,3,39,5,97.2,0,8.7,18,78.3,70,97,89,78,70,93,33,57,77,.,69,94,43.8,0,.,18.3,54,26,2,4,6,48,17,24,92360,57713,38026,39954,15,5.2,10.9,23.2,17.1,9.5,17.2,0,4,88,8,76,10,6,0,8,0,181013,1.131000,3506701,12479,70,24,6,162389,5,3610501,2673008,9512,57,10,5,10,18,1517014,5399,50,24,20,1,2,0,4,0
Panther Creek Cons,042905,042 COLEMAN,15,RE,2,156,0,21,79,0,65.4,5,14,5,33,10,95.9,0,7.7,12,76.9,80,94,.,87,90,97,.,75,81,.,75,100,63.6,28.6,.,21,34,20,3,1,0,58,9,29,70000,64999,.,38679,0,4.6,7.9,35.5,10.6,18.8,30,0,0,100,0,75,10,6,0,8,1,415029,1.170000,1811016,12073,38,53,9,189240,10,1871055,1832155,12214,51,10,5,13,21,934173,6228,64,9,16,0,6,0,5,0
Novice,042906,042 COLEMAN,15,AU,2,91,3,22,75,0,65.9,0,13,0,64,2,96.5,0,14.3,11,78.6,26,76,75,34,50,65,.,18,29,.,31,64,62.5,20,.,18.8,28,13,2,2,3,48,17,29,62450,62450,37938,36149,11,3.3,6.8,69.4,4.5,0.8,48.8,7,7,85,0,72,1,15,0,12,0,424198,1.170000,1521310,15062,60,36,5,224620,14,1456584,1405265,13914,53,12,4,12,20,741457,7341,66,11,13,0,5,0,5,0
Allen,043901,043 COLLIN,10,RE,19,16991,11,12,66,11,13.8,7,11,7,14,10,96.9,0,0.6,1130,97.2,91,98,98,95,91,99,81,83,94,96,79,94,80.7,44.2,1071,23.4,1953,1117,1,2,8,57,6,26,104161,74063,56951,47643,13,8.7,15.2,34.7,10.6,25.4,13.3,3,4,90,2,78,8,1,4,3,6,360921,1.470000,152343480,9285,25,73,3,23695006,20,158143965,113647948,6927,58,5,5,14,17,66403862,4047,68,16,5,4,4,2,2,0
Anna,043902,043 COLLIN,10,AA,5,2000,9,22,67,2,35.8,7,11,7,21,5,95.9,0.3,1.1,92,93.7,78,94,97,86,78,90,67,65,83,82,67,98,49.4,15,935,17.7,272,168,2,3,2,62,5,26,92367,64049,49572,41117,12,7.4,11.9,52.7,7.7,14.5,21.7,3,6,89,1,79,9,5,2,3,1,241589,1.481000,18281545,9824,50,47,3,2089118,13,28703338,13777782,7403,57,7,7,12,17,7883016,4236,70,11,7,4,3,1,5,0
Celina,043903,043 COLLIN,10,RE,4,1715,4,21,74,1,25.9,7,11,7,23,5,96.4,0,8,100,88.4,86,97,98,91,89,97,88,79,87,.,73,98,79.3,24.6,1001,21.6,224,116,1,4,5,52,15,23,89295,65167,48844,45747,14,7.7,14.8,22.4,13.3,18.1,7.6,3,3,95,0,80,6,0,3,2,8,334760,1.519000,19585203,12150,30,68,2,1068990,8,25714279,12546956,7783,54,7,6,12,21,6752874,4189,74,14,2,1,2,0,6,0
Farmersville,043904,043 COLLIN,10,AA,5,1484,6,22,70,2,41.2,7,10,7,25,6,96.1,0,9.6,63,72.3,79,94,96,86,81,95,61,71,82,90,70,90,51.7,26.7,1000,.,182,107,1,4,5,59,12,20,102147,59742,53913,41885,6,8.2,13.8,32.1,13.8,19.5,22.4,1,2,97,0,77,6,5,3,4,5,202602,1.310000,12079637,8436,48,46,6,3405031,34,11567363,9970839,6963,60,4,6,12,19,5936179,4145,68,10,11,2,4,1,5,0
Frisco,043905,043 COLLIN,10,RE,37,27256,12,14,63,12,10.6,6,8,5,11,5,96.5,0.3,3.2,876,89.6,90,98,99,94,91,98,79,82,94,95,77,93,75.9,40.6,1060,22.6,3548,1971,1,3,9,56,7,25,93378,71104,52766,46113,17,7.7,13.8,47.5,7.9,21.8,14.8,3,4,92,1,79,10,2,2,2,5,507707,1.350000,256864463,10862,14,84,2,26675356,13,346218625,171468849,7251,60,5,6,10,19,102232463,4323,73,14,4,2,2,1,3,1
McKinney,043907,043 COLLIN,10,AA,29,22276,12,22,62,4,23.8,9,9,9,13,5,95.8,0.1,5,981,91.4,85,95,95,90,87,96,70,71,92,93,66,95,73.5,40.5,1051,22.1,2452,1587,2,3,9,65,8,14,80341,71980,54569,46736,16,9.1,14,39.3,9.7,26.8,15.2,5,8,86,2,80,11,1,5,2,1,374830,1.517000,215328980,10218,22,74,4,47692208,29,258275450,153611981,7290,59,7,6,10,18,90734729,4306,67,18,4,4,2,2,3,0
Melissa,043908,043 COLLIN,10,RE,4,1131,5,17,76,2,23.3,5,10,5,7,8,95.7,0,.,47,.,87,97,95,91,91,98,71,88,87,79,78,96,85,26.5,976,21.1,154,79,3,4,6,51,5,31,76913,65483,54688,45997,5,7.4,14.3,41.8,8.8,21.5,30.8,0,1,99,0,81,5,0,3,2,10,341768,1.535000,13977511,13992,35,49,16,1782875,21,15631350,10800067,10811,58,13,3,8,18,6232932,6239,51,41,2,1,1,1,3,0
Plano,043910,043 COLLIN,10,AA,68,53439,11,17,53,20,15.9,12,11,12,15,10,96.9,0,2.9,3197,90.9,88,97,97,92,89,98,70,71,93,95,68,94,89.9,60.8,1143,24.8,6894,4003,1,3,9,58,10,20,85740,72120,57353,48712,21,7.8,13.3,42.5,9.8,33.6,14.5,5,8,83,4,69,16,2,6,2,5,601529,1.268000,527824876,10006,17,79,4,125946826,24,599327627,413068623,7830,63,5,5,10,17,258841839,4907,63,21,3,7,2,2,1,1
Princeton,043911,043 COLLIN,10,RE,5,2658,4,29,66,2,43.8,10,14,10,23,5,95.8,0,5.2,162,87.9,81,95,93,88,83,96,66,78,84,83,74,90,39,10.9,968,17.4,370,184,1,3,6,50,10,31,103621,66397,51123,42339,10,7.2,14.5,45.2,9.6,10.4,13,1,4,94,1,70,9,2,5,5,9,178056,1.369000,23675316,9162,57,36,7,3931900,20,25381628,18675353,7227,60,5,7,11,18,11165963,4321,67,13,9,1,5,0,4,0
Prosper,043912,043 COLLIN,10,RE,5,2665,7,16,75,2,14,7,7,10,12,5,96,0,0,105,95.4,89,98,98,93,89,97,68,77,93,94,73,95,87.2,30.5,1039,22.9,313,197,2,4,8,63,14,9,95020,57474,47141,44153,9,8.5,13.5,47.1,9.5,21.4,17.4,1,5,93,1,92,5,0,1,2,1,510435,1.670000,27830863,12548,17,82,1,2526478,11,48371883,15606142,7036,63,4,6,11,16,9804114,4420,76,13,2,1,5,1,3,0
Wylie,043914,043 COLLIN,10,AA,17,10690,14,19,59,8,25.3,8,8,8,20,7,96.4,0,2.4,470,91.7,80,94,94,87,82,93,73,73,84,83,70,94,62.7,22.7,993,21.1,1468,756,1,3,7,51,9,28,83314,70556,51006,44151,16,7.3,14.1,46.4,8.6,20.7,14.6,2,4,93,1,77,9,3,4,4,3,261399,1.390000,91495134,9206,41,55,4,14606982,20,139902761,70201340,7063,58,7,5,11,19,40592199,4084,76,13,4,1,3,1,3,0
Blue Ridge,043917,043 COLLIN,10,AA,4,643,2,11,85,2,31.7,4,10,4,22,10,96.3,0,5.1,57,91.5,74,94,92,83,79,90,50,58,76,71,59,83,62,9.7,875,19.4,98,60,2,4,2,61,10,20,78532,58429,45516,40170,2,6.6,10.7,46.7,9.9,6.7,35.9,0,2,97,2,84,8,2,0,7,0,181368,1.556000,6537583,9831,57,40,3,-97245,-2,7114417,5539283,8330,55,7,8,13,17,3070008,4617,73,11,5,0,5,1,4,2
Community,043918,043 COLLIN,10,AA,3,1583,3,16,79,1,29.4,4,10,4,24,5,95.4,0,8.1,96,83.8,77,94,95,84,79,93,53,69,79,92,69,85,53.2,28.6,964,20.9,184,101,1,4,6,55,9,25,82444,63530,48123,40158,8,8.6,15.7,34.3,11.5,26.9,23.3,0,0,96,4,84,9,0,0,5,2,258585,1.495000,12136446,8428,48,49,3,2955692,30,10693460,9234363,6413,53,5,7,13,21,4919608,3416,72,12,5,1,5,0,4,0
Lovejoy,043919,043 COLLIN,10,EX,4,2490,3,6,87,5,1.6,1,6,1,11,17,97.2,0,.,0,.,92,99,99,96,90,99,79,87,92,93,77,.,.,.,.,.,331,176,1,3,8,53,8,27,125729,79417,57575,46495,9,7.5,14.2,31.6,10.1,17.8,17,2,3,95,0,85,6,0,0,2,6,529985,1.476000,24778614,11907,21,79,1,5077344,22,30185393,18664981,8969,53,8,6,12,21,9860843,4739,81,8,2,1,1,4,4,0
Wellington,044902,044 COLLINGSWORTH,16,AA,3,565,5,40,54,1,57.5,9,13,9,28,6,96.5,0,3.6,27,92.9,80,96,.,88,77,85,53,70,89,.,74,94,79.2,26.3,.,19.7,98,51,2,4,4,52,19,19,64143,60123,43615,40843,14,5.7,11,18.4,13.5,10.8,17.1,0,2,98,0,77,14,3,0,6,0,141054,1.020000,5719744,10978,66,23,12,1166300,22,5275854,4989945,9578,59,7,6,11,17,2952518,5667,46,17,22,1,6,0,5,2
Samnorwood,044904,044 COLLINGSWORTH,16,AA,1,95,11,27,61,1,61.1,0,12,0,46,5,96.9,0,8.3,9,75,69,92,.,73,64,88,.,33,83,.,66,91,100,0,.,16.6,23,14,4,0,0,62,11,23,55000,.,.,39396,4,4.1,6.6,37.9,10,2,13.5,0,7,93,0,82,0,0,0,17,0,383541,1.030000,1596586,14255,55,41,4,464235,33,1540012,1482055,13233,51,15,2,19,13,758753,6775,71,5,7,0,11,0,6,0
Columbus,045902,045 COLORADO,03,AA,3,1528,17,26,56,1,47.7,7,14,7,27,3,96.2,0,0.8,123,95.9,72,90,90,82,73,89,52,60,81,92,60,95,49.5,35.8,1046,21,206,117,1,4,5,57,15,18,74347,59356,50881,40557,12,7.4,13.1,28.2,12.5,13.7,13,3,3,94,0,79,11,4,0,5,1,412010,1.190000,14477363,9298,24,65,10,2833221,26,14177756,11806233,7583,58,6,5,11,20,6794708,4364,56,23,12,0,5,0,4,0
Rice Cons,045903,045 COLORADO,03,AA,5,1282,21,48,31,0,67.2,9,16,8,25,6,95.6,0,11.6,77,78.9,72,92,95,82,72,93,51,70,87,.,64,95,91.1,15.7,979,17.5,224,116,2,4,4,52,15,23,79528,63547,53399,42863,29,5.7,11.1,31,14.1,12.9,16.1,3,8,90,0,83,9,0,3,5,0,471120,1.298000,14870434,11351,26,61,14,5623171,46,14416464,13135023,10027,59,6,7,11,17,7785208,5943,57,18,17,0,4,0,3,1
Weimar,045905,045 COLORADO,03,AA,3,561,17,30,53,0,48.8,13,9,12,29,9,96.3,0,2.1,50,97.9,75,91,91,84,79,91,42,67,88,.,63,96,77.5,32.3,990,21.8,99,47,2,3,6,48,16,26,65042,58491,43746,43057,11,5.6,11.9,14.8,14.5,9.5,18.8,2,2,96,0,79,6,6,2,4,3,415409,1.220000,6183413,10661,31,60,8,1136737,23,5994068,5266693,9081,53,9,6,11,21,2794667,4818,58,21,8,0,5,0,6,1
Trinity Charter,046802,046 COMAL,13,EA,4,218,14,48,38,0,100,22,53,22,0,0,99.6,8.8,.,0,.,50,74,20,71,29,.,33,.,44,.,50,.,.,.,.,.,74,35,1,0,0,48,0,51,68000,.,.,47940,58,3,6.2,68.6,5.6,28.6,34,23,20,54,3,63,26,0,11,0,0,0,0.000000,4657229,21363,91,1,8,1187918,24,4645061,4645061,21308,72,9,12,0,7,3324041,15248,6,86,7,0,0,0,0,0
New Braunfels,046901,046 COMAL,13,AA,12,7315,2,43,54,1,38.4,7,9,7,17,6,95.5,0.2,3.4,371,81.4,78,94,96,85,80,94,65,66,88,85,64,90,73.3,27,1010,21.4,901,449,1,2,10,50,9,28,93404,69441,54112,48166,32,8.1,16.3,27.4,12.5,20.2,12.6,1,16,84,0,71,9,3,6,3,8,338884,1.344000,65214089,9302,26,63,11,19179998,41,63808090,49365531,7041,57,6,5,9,22,28165783,4017,68,15,9,1,3,1,2,2
Comal,046902,046 COMAL,13,RE,18,15138,2,29,67,1,32.4,5,10,4,22,11,95.8,0.2,3.3,935,90.1,83,95,96,88,86,96,74,72,87,90,70,92,68.8,29,1007,21.1,1966,995,1,2,8,51,9,30,96676,68899,51202,46973,19,7.7,15.2,27.3,13,22.8,11,0,8,91,1,74,10,3,4,5,5,549240,1.310000,140277091,9887,15,80,5,45133616,39,193236814,98810000,6964,58,6,5,11,20,57174051,4030,68,17,6,0,4,1,3,0
Comanche,047901,047 COMANCHE,14,AA,3,1252,1,46,53,1,59.4,9,10,9,22,8,96.2,0.5,11.7,104,83.3,80,93,96,89,78,90,.,71,88,67,74,83,75.5,11.3,927,18.6,208,114,1,2,2,55,14,26,69697,63200,45608,40125,17,6,10.9,26.9,13.5,14.9,15.7,0,5,95,0,70,8,7,5,6,4,195928,1.060000,11847849,8842,57,35,8,1089006,8,10418691,9639684,7194,62,5,6,11,16,6013783,4488,61,13,13,0,5,3,5,0
De Leon,047902,047 COMANCHE,14,AA,4,678,0,31,68,1,57.7,3,10,3,25,4,96.3,0,2.5,34,82.5,74,97,94,80,74,98,.,56,83,.,63,83,75,12.5,882,17,113,59,1,2,5,52,14,26,80000,60330,46367,39986,8,6,11.4,23.6,13.3,7.5,17.1,0,3,97,0,73,5,11,2,9,0,206059,0.990000,7130064,10722,51,31,18,670602,13,6892942,6637575,9981,56,7,4,13,19,3690727,5550,45,30,15,1,5,1,3,0
Gustine,047903,047 COMANCHE,14,AA,1,210,0,58,41,1,77.1,30,10,30,42,1,96.7,0,9.1,12,81.8,68,88,96,75,64,88,.,64,73,.,65,100,50,20,.,.,33,17,3,5,6,52,12,22,70000,55401,40545,37834,6,6.3,12.2,29,14.7,17.4,22.8,0,6,94,0,81,5,5,0,9,0,185331,1.108000,2308423,11045,65,26,9,580958,33,2328857,1895648,9070,51,13,5,11,21,966417,4624,58,8,19,3,6,0,7,0
Sidney,047905,047 COMANCHE,14,AA,1,131,0,16,83,1,71,2,9,2,61,4,97.6,0,0,14,100,63,96,.,79,60,90,.,47,66,.,54,100,83.3,20,970,.,25,14,2,0,0,58,15,24,98822,58000,.,39333,8,5.3,9.1,41.4,12.9,9.8,26.6,0,7,86,7,83,3,0,0,14,0,141961,1.040000,1428045,10657,72,20,8,568537,45,1347273,1328074,9911,58,12,5,11,15,764582,5706,53,17,17,0,8,0,6,0
Eden Cons,048901,048 CONCHO,15,AA,5,283,3,45,53,0,54.1,3,12,3,46,3,95.9,0,19,19,76.2,63,89,93,80,54,80,.,51,71,.,59,87,61.1,0,.,17.2,52,27,1,4,7,51,11,25,75964,50324,38080,40417,22,5.4,10.6,20.7,14.8,7.5,14.9,0,0,100,0,79,6,4,1,10,0,495395,1.040000,3572745,12536,41,51,7,682561,22,3254150,3132923,10993,53,14,5,11,18,1650634,5792,58,11,16,0,8,1,5,1
Paint Rock,048903,048 CONCHO,15,RE,2,155,0,40,60,0,48.4,3,7,2,32,3,96.7,0,0,14,100,74,93,.,83,78,.,.,68,78,.,75,82,75,11.1,.,18.8,30,17,3,3,0,58,10,26,75000,48785,.,38252,18,5.1,8.9,30.9,12.3,1.9,37.7,0,11,89,0,76,3,11,2,7,1,396090,1.320000,1588577,10734,39,55,6,190584,12,1830190,1664298,11245,52,16,5,11,16,866442,5854,58,12,15,0,7,1,6,2
