SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOT2P,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT10R,DA0708DR10R,DADC410R,DAGC410R,DA0GR10N,DA311TA11R,DA311TR11R,DA311TW11R,DA311TM11R,DA311TC11R,DA311TS11R,DB311TA11R,DH311TA11R,DW311TA11R,DD311TA11R,DE311TA11R,DACTA11R,DA0CT10R,DA0CC10R,DA0CS10R,DA0CA10R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Medina,010901,010 BANDERA,20,AA,2,302,2,23,73,2,51,4,15,4,34,9,97.1,0,3.4,96.6,28,81,93,.,90,84,95,.,61,86,.,73,100,95.2,25,933,20.2,74,39,3,3,5,52,14,23,83108,70486,48464,41062,7,4.1,7.7,23.1,14.6,25.6,5.6,0,8,85,8,70,11,8,0,7,2,639737,1.040000,4151071,13095,45,47,8,439420,10,4514857,4457857,14063,55,10,6,10,19,2437605,7690,55,21,14,1,7,0,3,0,0
Bandera,010902,010 BANDERA,20,RE,4,2462,0,28,69,3,49.1,4,13,4,28,8,95.1,0,6.1,87.2,170,80,92,93,86,88,96,67,72,83,79,72,96,66.2,27.9,978,20.7,366,188,2,3,8,51,11,26,83651,67459,55009,49647,13,6.7,13.1,21.3,13.5,20.4,5.2,0,7,92,1,72,11,7,1,5,4,524753,1.190000,25965411,10239,26,62,12,4695134,23,26263097,23003257,9071,59,5,4,10,22,13669552,5390,60,17,12,1,5,0,4,1,0
Bastrop,011901,011 BASTROP,13,AA,14,9043,6,51,39,4,65.1,17,11,15,16,9,94.5,0,5.1,86.7,548,70,87,88,80,77,94,60,62,80,78,63,96,46.5,21.4,964,20.8,1196,617,1,3,7,52,12,26,100106,72311,56307,47251,31,7.6,14.7,30.5,12.2,22,13.2,5,15,77,3,57,11,12,9,3,8,296109,1.481000,92525590,10437,42,44,14,7904793,12,130824370,75026499,8463,58,5,5,10,22,43852870,4947,46,25,12,8,3,3,1,1,2
Elgin,011902,011 BASTROP,13,AA,7,3943,13,52,32,3,69.3,19,10,18,29,7,95,0,2.9,82.9,253,66,84,86,77,70,91,54,60,78,77,59,71,45.3,14.2,931,19.4,523,254,1,3,6,49,9,32,91701,65617,54994,46880,37,7.5,15.5,44.1,11.2,20.7,10.1,3,16,79,2,64,13,1,16,5,1,220112,1.540000,39188550,9906,54,36,10,7580300,25,39905490,32349592,8177,58,6,5,12,20,18591257,4700,54,16,16,2,4,2,3,1,2
Smithville,011904,011 BASTROP,13,AA,4,1735,9,24,64,4,56.2,4,12,4,26,7,95.5,0,4.3,94.3,135,77,91,81,86,86,95,59,68,82,85,69,99,53.9,24.2,1035,20.7,249,131,1,3,10,53,11,23,82905,60469,48700,44256,14,7,13.3,26.8,13.6,18.8,13.4,5,1,91,3,79,13,1,1,2,3,333833,1.250000,16135816,9469,43,48,9,1608286,12,16541614,15003774,8805,55,7,4,12,21,8255984,4845,52,22,13,2,4,2,4,1,1
McDade,011905,011 BASTROP,13,AA,1,186,2,48,51,0,64.5,25,9,23,0,3,95.9,0,.,.,0,68,80,86,82,70,82,.,67,67,.,68,.,.,.,.,.,34,16,6,3,9,46,20,17,64926,57000,43300,39471,18,5.4,11.9,32.8,10,12.8,6.1,0,4,96,0,83,5,12,0,0,0,379656,1.110000,2378912,13000,46,38,16,508542,27,2490346,2209108,12072,57,12,4,11,16,1256922,6868,58,9,30,2,0,0,1,0,0
Seymour,012901,012 BAYLOR,09,RE,3,575,3,21,73,3,52.3,0,9,0,25,4,96.8,0,2.1,97.9,51,93,96,.,96,95,.,.,84,94,.,88,97,76.1,37.1,.,21.7,92,53,2,3,5,58,9,23,88289,68334,47562,43044,4,6.2,10.8,18.8,15,13.4,15.2,0,4,96,0,80,6,3,0,11,0,258467,1.040000,6932645,11953,60,25,15,3057894,55,7140032,6233679,10748,55,7,5,10,23,3430618,5915,46,9,28,0,9,0,7,1,0
St Mary's Academy Charter,013801,013 BEE,02,EX,1,361,2,80,14,4,75.9,1,9,1,0,3,95.9,.,.,.,0,93,97,.,97,98,.,80,93,96,.,94,.,.,.,.,.,66,24,1,3,9,36,26,25,70901,54279,41995,36614,50,5.5,15,45.8,12.4,26.4,7.5,4,33,59,4,87,12,0,0,0,1,0,0.000000,3671937,11027,81,4,15,263936,9,3412180,3350197,10061,53,13,5,15,13,1784618,5359,66,11,23,0,0,0,0,0,0
Beeville,013901,013 BEE,02,AA,7,3525,2,82,15,1,73.4,3,10,2,27,8,94.8,0,6.4,80.5,243,60,84,90,69,69,87,50,58,74,67,56,88,40.7,10.2,1008,17.8,503,229,1,3,8,46,14,30,89975,70001,50098,44363,59,7,15.4,34.2,13.1,20.2,10.6,1,33,64,1,81,15,0,0,4,0,160397,1.318000,35080096,10049,60,24,15,9378290,38,38722706,28527271,8172,56,6,5,12,21,16097020,4611,58,14,17,0,4,1,4,0,3
Pawnee,013902,013 BEE,02,RE,1,162,0,77,22,1,79.6,1,8,0,0,3,96.3,0,.,.,0,80,93,93,86,84,.,.,79,80,.,77,.,.,.,.,.,24,13,4,4,4,54,12,21,80071,63240,33872,41008,42,6.7,12.5,30.8,11.4,30.8,20.9,0,15,85,0,92,0,8,0,0,0,978668,1.291000,2488287,18163,24,63,13,920612,40,4389900,1611162,11760,56,8,6,11,19,895317,6535,75,8,16,0,0,0,1,0,0
