SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOT2P,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT10R,DA0708DR10R,DADC410R,DAGC410R,DA0GR10N,DA311TA11R,DA311TR11R,DA311TW11R,DA311TM11R,DA311TC11R,DA311TS11R,DB311TA11R,DH311TA11R,DW311TA11R,DD311TA11R,DE311TA11R,DACTA11R,DA0CT10R,DA0CC10R,DA0CS10R,DA0CA10R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Acad-Accelerated Learning,101810,101 HARRIS,04,RE,1,582,34,63,0,3,96,58,1,58,0,0,96.4,.,.,.,0,77,85,82,84,77,.,69,78,.,80,76,.,.,.,.,.,55,32,2,4,5,58,2,29,67083,63334,32425,39600,91,10.6,18.2,43.7,8.3,15.6,25.8,44,47,3,6,54,3,0,42,0,0,0,0.000000,5029562,8762,83,3,14,124994,4,4187230,4187230,7295,49,10,4,27,10,2068939,3604,77,2,22,0,0,0,0,0,0
Excel Academy,101811,101 HARRIS,04,EN,4,487,38,50,10,2,100,12,23,11,0,0,.,.,44.1,0,0,.,.,.,.,.,.,.,.,.,.,.,71,.,.,.,.,112,62,3,5,12,55,0,25,62392,54451,51531,41354,72,4.3,7.9,30.6,11.6,32.3,12,63,2,27,8,78,19,0,3,0,0,0,0.000000,8102279,15316,79,0,21,3429728,54,7258531,7258531,13721,63,11,14,0,11,4602108,8700,37,24,26,9,3,0,0,2,0
Houston Can Academy Charter,101812,101 HARRIS,04,EU,2,696,56,42,2,1,87.8,5,18,4,25,0,85.8,.,55.6,20.1,180,36,61,.,38,47,80,33,39,.,.,35,50,9.2,0,812,16.7,91,43,2,12,15,47,7,17,97043,57618,52643,41339,83,7.6,16.1,88.4,2.8,9.3,61.9,65,14,14,7,78,17,0,0,5,0,0,0.000000,8508881,10518,80,2,18,-4744,0,7715436,7653434,9460,35,14,11,24,17,2657233,3285,41,12,36,6,3,0,0,2,0
Kipp Charter,101813,101 HARRIS,04,RE,14,4963,25,70,1,4,92.8,37,3,37,6,1,97.7,0,2.3,94.3,91,82,91,96,89,87,99,76,84,86,89,82,98,86.5,15.6,960,.,589,328,3,5,8,56,6,24,105368,72425,74974,47922,57,8.4,15.1,76.5,3.8,21.1,25.5,23,22,46,9,83,8,2,6,1,0,0,0.000000,52486789,13584,63,23,14,11130736,26,49161064,44815422,11598,44,21,9,10,16,19671110,5091,71,4,21,3,0,0,1,0,0
The Varnett Public Sch00l,101814,101 HARRIS,04,AA,3,1667,56,43,1,0,98.3,26,2,25,0,1,98.7,.,.,.,0,56,72,89,70,67,.,55,57,.,.,55,.,.,.,.,.,141,82,4,5,3,58,9,21,95695,63568,109122,38410,72,11.8,20.3,26.8,11.5,0,36.5,49,2,9,40,91,4,0,4,0,1,0,0.000000,15194865,9791,78,1,20,6462565,55,12051180,12043423,7760,41,15,3,26,15,4882822,3146,57,8,33,3,0,0,0,0,0
Alief Montessori Community,101815,101 HARRIS,04,RE,1,242,18,48,3,32,100,66,3,66,0,0,97,.,.,.,0,95,99,.,.,80,.,.,89,.,.,95,.,.,.,.,.,27,10,0,18,4,36,42,0,.,51348,26299,39212,53,8.8,24.3,70,3.4,0,50,0,0,30,70,100,0,0,0,0,0,0,0.000000,2018772,8482,84,8,8,1008795,76,1366991,1346670,5658,61,9,3,13,14,821291,3451,59,4,29,8,0,0,0,0,0
Amigos Por Vida-Friends,101819,101 HARRIS,04,AA,1,475,0,99,1,0,98.9,94,6,96,0,0,97.2,1.1,.,.,0,71,81,93,87,73,94,.,72,.,.,72,.,.,.,.,.,61,25,2,4,16,40,20,17,69916,58409,47960,47268,82,7.7,19.1,71.8,3.9,23.5,44,0,64,32,4,12,0,0,88,0,0,0,0.000000,5368235,11137,80,2,17,2051852,58,4066908,4052842,8408,67,8,6,7,12,2716272,5635,56,7,29,8,0,0,0,0,0
Benji's Special Educ Acad,101820,101 HARRIS,04,NR,1,268,88,11,0,1,83.2,0,12,0,0,0,96.1,4.5,67.9,21.4,9,.,.,.,.,.,.,.,.,.,.,.,57,80,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Houston Heights,101821,101 HARRIS,04,EA,1,200,24,71,5,1,38.5,0,17,0,68,1,96.2,.,14.6,65.9,54,36,76,.,65,54,88,18,40,.,.,44,83,65.9,3.7,.,15.7,28,19,5,2,7,68,18,0,80959,108539,25369,42089,54,7.2,10.6,73.6,4.7,26.3,27.9,21,37,42,0,77,10,0,0,12,0,0,0.000000,2150814,10701,88,3,9,201028,11,2228041,2228041,11085,57,15,3,19,6,1279148,6364,63,15,16,0,5,1,1,0,0
Jamie's House Charter,101822,101 HARRIS,04,AU,2,220,83,10,4,4,90.5,0,17,0,0,0,89,0,53.3,26.7,9,25,50,.,79,29,40,24,.,.,.,21,63,0,.,.,.,18,14,0,5,0,78,0,16,.,70000,.,35353,100,12.1,15.5,100,0.4,0,86.1,100,0,0,0,80,20,0,0,0,0,0,0.000000,2712814,28258,54,3,43,464149,24,2748178,2748178,28627,46,26,1,17,9,1253657,13059,39,45,17,0,0,0,0,0,0
Children First Acad-Houston,101823,101 HARRIS,04,RE,1,412,93,4,1,1,99,0,7,0,0,0,95.6,0,.,.,0,85,95,95,91,88,.,84,83,.,.,85,.,.,.,.,.,48,21,8,10,2,44,17,19,78389,47626,34775,40309,100,8.7,19.6,90.5,2.5,0,28.6,100,0,0,0,81,0,19,0,0,0,0,0.000000,3241820,7504,82,0,18,4779447,163,2637082,2637082,6104,37,24,3,8,28,982082,2273,80,0,20,0,0,0,0,0,0
Houston Gateway Academy,101828,101 HARRIS,04,RE,2,979,1,98,1,0,94.5,29,5,29,3,0,96.7,0.7,.,.,0,86,91,94,96,91,99,.,87,.,.,86,.,.,.,.,.,88,50,1,3,15,57,14,10,150000,71033,35195,34727,87,11.2,19.8,69.7,4.5,6.1,35,20,58,12,10,65,4,0,29,2,0,0,0.000000,10114611,11707,69,2,28,4157181,88,7042220,6919685,8009,59,17,2,10,12,4072723,4714,47,10,34,9,0,0,0,0,0
Houston Heights Learning,101829,101 HARRIS,04,EX,1,115,38,58,2,2,99.1,33,3,30,0,0,97,.,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,12,8,4,4,0,67,8,17,70000,70000,.,38937,75,9.6,14.4,87.5,3.9,12.5,11.1,62,0,38,0,75,0,25,0,0,0,0,0.000000,1091161,8800,79,1,20,-15031,-2,1101633,1096865,8846,65,13,4,7,10,711541,5738,75,6,18,1,0,0,0,0,0
La Amistad Love & Learning,101833,101 HARRIS,04,RE,3,387,71,25,0,4,98.4,59,2,57,0,0,97.1,.,.,.,0,96,96,.,.,.,.,89,.,.,.,96,.,.,.,.,.,33,18,0,0,0,54,3,43,.,83133,.,42824,76,11.8,21.8,56.2,7.4,21.9,47.4,44,17,11,28,44,0,33,23,0,0,0,0.000000,2888621,8325,74,5,22,-161652,-6,2594836,2594836,7478,48,11,1,25,14,1247942,3596,57,2,38,4,0,0,0,0,0
Calvin Nelms Charter,101837,101 HARRIS,04,EA,3,260,10,35,54,2,27.3,0,10,0,55,0,93.2,0,26.9,57.7,52,65,91,.,73,78,95,63,53,74,.,56,86,7.7,.,.,.,27,20,9,7,2,74,0,8,97627,50801,66660,43850,28,9.8,13.3,40.9,7.1,13.5,13.6,10,14,66,10,89,0,0,0,11,0,0,0.000000,2565305,8637,93,2,5,1995797,91,2086055,1968236,6627,58,15,3,12,12,1146533,3860,57,20,3,0,15,0,2,3,0
Southwest,101838,101 HARRIS,04,AU,7,3867,12,40,41,7,32.9,17,8,16,3,0,95.7,3.5,39.6,47.9,80,60,85,83,67,74,89,43,58,64,73,56,77,36.5,11.1,864,.,190,130,1,3,11,68,3,14,44265,69888,48482,36354,50,20.4,29.8,82.2,2.2,22.8,23.9,20,19,52,9,96,3,0,0,1,0,0,0.000000,24821977,6907,91,3,6,2846062,15,22661837,22642852,6300,77,7,4,4,8,17325323,4821,76,12,5,2,5,0,0,1,0
Two Dimensions Prep Acad,101840,101 HARRIS,04,AA,3,536,87,11,2,1,98.9,5,3,5,0,4,96.8,.,.,.,0,80,94,96,89,60,.,79,.,.,.,79,.,.,.,.,.,62,23,3,0,0,37,26,34,85000,.,.,39193,95,8.7,23.3,78.3,4.1,17.4,23.5,87,0,9,4,64,9,28,0,0,0,0,0.000000,4130258,9650,87,1,11,-467729,-17,3844275,3844275,8982,42,12,7,24,15,1622619,3791,79,3,16,0,2,0,0,0,0
Comquest Academy,101842,101 HARRIS,04,EU,1,83,16,43,41,0,68.7,1,8,1,92,0,92.1,.,0,71.4,17,47,83,.,60,61,89,9,58,58,.,37,71,12.5,.,.,.,12,7,8,0,35,57,0,0,130001,.,40269,33188,32,6.7,11.7,7,13.7,36.8,0,37,14,21,28,67,0,0,0,33,0,0,0.000000,966558,12887,92,2,6,56651,7,868218,859833,11464,38,14,6,21,21,327907,4372,2,13,13,0,69,0,0,4,0
Yes Preparatory Public Sch,101845,101 HARRIS,04,EX,7,4078,11,85,1,2,79.3,14,5,14,0,0,97.4,0.1,1.6,91.5,124,92,96,98,95,97,.,88,92,95,97,92,100,.,23.7,985,20.9,408,261,3,11,17,64,3,3,95175,61338,53029,47450,34,10,15.6,81.2,3.6,10.2,25.5,9,15,65,11,96,4,0,0,0,0,0,0.000000,42500232,12596,67,23,10,35907212,117,37805827,37398668,11084,49,19,5,11,17,18319248,5430,74,5,17,1,0,0,2,1,0
Harmony Science Academy,101846,101 HARRIS,04,RE,6,2759,32,34,18,17,63.2,11,2,10,1,8,97.2,0,0,100,61,78,92,92,86,84,99,77,74,81,87,76,92,.,32.8,998,22.8,288,179,13,7,8,62,0,10,67641,63452,48883,38572,18,9.6,15.4,96.2,1.8,8.9,78.6,9,7,78,6,98,1,0,1,0,0,0,0.000000,16969101,9406,84,4,12,1333824,5,14461246,13789712,7644,52,13,7,17,10,7216759,4000,76,7,16,1,0,0,0,0,0
Beatrice Mayes Inst Charter,101847,101 HARRIS,04,RE,1,430,99,0,1,0,80.5,0,7,0,0,0,97.4,0,.,.,0,88,97,98,94,87,.,88,.,.,.,91,.,.,.,.,.,47,31,2,6,6,66,0,19,101124,73446,44195,42888,98,9.2,13.9,58.1,6.3,6.5,7.4,90,6,0,3,100,0,0,0,0,0,0,0.000000,4033305,9719,83,1,15,2378119,72,3537402,3537402,8524,57,11,5,17,11,2003686,4828,83,0,17,0,0,0,0,0,0
Northwest Preparatory,101848,101 HARRIS,04,RE,2,289,84,10,6,0,98.6,5,21,0,0,0,96,0,.,.,0,75,88,94,84,84,.,75,63,88,.,77,.,.,.,.,.,63,33,2,3,22,52,0,21,76000,51900,23338,35864,97,4.6,8.8,45.4,7.9,27.3,27.6,97,0,0,3,73,27,0,0,0,0,0,0.000000,4215908,14897,73,2,25,183466,7,3846840,3846840,13593,58,8,7,15,13,2226699,7868,34,34,32,0,0,0,0,0,0
Accelerated Intermed Acad,101849,101 HARRIS,04,RE,1,242,51,23,26,0,95.5,29,12,29,0,0,96.8,0,.,.,0,88,96,93,96,83,.,83,.,90,.,89,.,.,.,.,.,26,19,4,4,0,73,0,19,214167,77666,.,40128,88,9.4,12.8,100,0,10.6,46.2,79,5,5,11,80,9,11,0,0,0,0,0.000000,4766386,10499,73,2,25,3631994,79,2468310,2468310,5437,54,17,4,9,17,1338793,2949,4,21,75,1,0,0,0,0,0
Zoe Learning Academy,101850,101 HARRIS,04,RE,2,544,94,3,2,1,95.4,0,6,0,0,0,92.7,.,.,.,0,73,81,83,89,86,.,72,80,.,.,71,.,.,.,.,.,65,28,5,6,3,43,23,20,70500,56500,41500,37639,100,8.3,19.2,100,0,22.4,20.7,100,0,0,0,82,4,14,0,0,0,0,0.000000,4985181,9015,82,0,18,61919,2,4858859,4858859,8786,43,13,8,20,16,2106191,3809,51,8,41,0,0,0,0,0,0
Houston Alter Prep Charter,101851,101 HARRIS,04,AU,1,158,76,22,3,0,94.9,38,8,38,0,0,94.4,3.4,.,.,1,55,67,71,85,67,.,48,65,.,.,56,.,.,.,.,.,24,13,13,13,0,54,17,4,68046,36887,.,37231,88,6.6,12.2,61.5,5.7,46.2,66.7,77,8,15,0,77,8,8,8,0,0,0,0.000000,2372470,13956,69,0,31,-148710,-10,2147645,2141407,12597,47,16,4,18,16,1005545,5915,44,16,39,2,0,0,0,0,0
Juan B Galaviz Charter,101852,101 HARRIS,04,EA,1,65,6,94,0,0,89.2,5,9,5,35,0,95.1,8.7,30,40,9,28,67,89,43,36,67,.,28,.,.,29,38,22.2,.,.,.,12,8,9,2,6,69,0,14,19866,31667,50000,33627,58,5.5,7.9,70.9,4.5,26.2,65,22,17,37,24,98,2,0,0,0,0,0,0.000000,684439,9249,87,2,11,58244,10,735150,735150,9934,59,15,2,13,12,434026,5865,68,1,21,0,8,0,0,2,0
Ripley House Charter,101853,101 HARRIS,04,RE,4,1752,25,70,2,3,98.5,56,6,56,0,0,96.8,.,.,.,0,82,91,98,89,98,.,62,87,.,.,81,.,.,.,.,.,124,69,2,7,11,55,18,6,94220,68615,57011,44569,61,14.1,25.4,91.3,2,5.8,24.2,20,36,35,9,42,4,0,54,0,0,0,0.000000,11390831,7445,86,0,14,3479544,37,10196545,10190404,6660,66,20,6,3,5,6724141,4395,54,8,35,4,0,0,0,0,0
R Milburn (Suburb Houston),101854,101 HARRIS,04,EU,1,196,38,54,5,3,91.3,0,9,0,28,0,83.5,.,58.7,19.8,48,50,66,.,59,53,75,40,53,.,.,50,48,4.3,.,.,.,19,13,0,5,5,66,0,23,.,75000,48259,40804,53,10.2,15.4,47,6.2,37.3,49.8,6,39,55,0,84,8,0,0,9,0,0,0.000000,2613527,9538,84,0,16,55931,3,2633548,2614177,9541,42,19,12,18,9,1088642,3973,55,5,31,0,4,0,1,4,0
Meyerpark Elementary,101855,101 HARRIS,04,AU,1,214,84,10,6,1,82.7,0,6,0,0,0,95.3,.,.,.,0,53,78,77,59,75,.,50,83,60,.,48,.,.,.,.,.,26,16,4,2,7,61,3,23,78453,84848,75926,35274,96,8.1,13.2,56.8,6.2,12.4,10,92,1,6,0,94,0,6,0,0,0,0,0.000000,1550559,8911,86,2,13,1402,0,1501213,1478695,8498,48,18,8,12,14,710198,4082,71,1,28,0,0,0,0,0,0
Draw Academy,101856,101 HARRIS,04,AA,1,293,2,98,0,0,100,75,4,75,0,2,98.1,0,.,.,0,70,80,89,90,69,.,.,70,.,.,70,.,.,.,.,.,35,15,1,1,0,43,43,11,89250,89250,.,52328,80,8.4,19.5,60,4.9,13.3,6.2,7,60,13,20,67,7,13,13,0,0,0,0.000000,3005483,10734,78,3,20,525395,22,2849910,2849910,10178,64,3,6,19,8,1819955,6500,53,9,31,8,0,0,0,0,0
Harmony Sch of Excellence,101858,101 HARRIS,04,EX,6,2858,18,34,20,28,44.6,9,2,8,0,9,97,0,.,.,0,90,95,97,94,93,99,85,85,92,97,85,100,.,.,.,.,243,182,1,8,3,75,1,11,59667,63852,31270,38549,21,11.8,15.7,92.2,2.1,15,23.5,5,11,74,10,99,0,0,1,0,0,0,0.000000,9446018,8396,87,6,7,827897,4,9107266,8749122,7777,47,12,6,27,9,4064179,3613,81,7,12,0,0,0,0,0,0
Stepping Stones Charter El,101859,101 HARRIS,04,AA,1,233,34,51,5,10,90.1,41,9,40,0,0,97.8,.,.,.,0,63,84,97,79,56,.,59,64,63,67,62,.,.,.,.,.,26,19,2,2,1,72,11,12,95000,95000,45000,45490,65,9,12.5,84.8,3.3,5.3,14.3,53,5,41,0,91,9,0,0,0,0,0,0.000000,2175778,10718,87,1,12,267573,15,2091351,2088606,10289,58,5,6,23,8,1202543,5924,69,9,20,2,0,0,0,0,0
Kipp Southeast Houston,101860,101 HARRIS,04,AA,5,1023,83,14,1,1,82.4,5,5,5,0,0,96.8,0,.,.,0,67,90,98,74,79,96,64,79,71,80,66,.,.,.,.,.,104,64,0,6,8,62,5,19,.,69089,63658,48299,77,9.9,15.9,80.8,3.9,29.5,54,64,5,27,5,93,7,0,0,0,0,0,0.000000,7967220,10034,84,4,12,1618598,20,7629260,7626250,9605,53,2,15,13,17,4068589,5124,78,4,16,0,0,0,1,0,0
The Rhodes School,101861,101 HARRIS,04,AA,1,355,69,27,1,4,80.8,0,6,0,0,18,97,.,.,.,0,72,90,.,80,77,.,70,86,.,.,70,.,.,.,.,.,31,17,2,5,0,57,19,18,135000,81315,.,45681,89,11.5,20.3,82.9,2.2,17.1,48.8,86,0,6,9,100,0,0,0,0,0,0,0.000000,2411337,8092,75,5,21,202262,14,2172248,2125281,7132,56,15,6,11,12,1197644,4019,63,16,20,0,0,1,1,0,0
Harmony Sch of Sci-Houston,101862,101 HARRIS,04,EX,1,622,15,17,12,56,47.3,11,1,8,0,5,97.5,0,.,.,0,96,97,99,99,98,.,94,95,98,96,96,.,.,.,.,.,43,37,0,2,1,86,0,12,.,51000,70332,38439,18,14.4,16.8,89.2,2.3,21.6,38.1,3,13,65,19,96,0,0,1,0,2,0,0.000000,5271691,8503,87,5,7,0,0,4891725,4727844,7626,45,12,6,28,10,2102390,3391,79,5,13,3,0,0,0,0,0
Koinonia Community Learning,101863,101 HARRIS,04,AU,1,43,86,14,0,0,100,0,0,0,0,0,.,.,.,.,0,10,50,.,10,.,.,10,.,.,.,10,.,.,.,.,.,9,5,1,11,0,56,11,22,50000,32500,.,34178,89,4.6,8.3,83,3.8,17,.,61,19,0,19,100,0,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Aldine,101902,101 HARRIS,04,AA,73,62945,26,69,2,2,84.4,32,7,30,21,4,95.4,0.5,17,75.3,2949,75,87,90,85,81,96,68,77,80,88,74,93,54.8,8.7,871,17,8358,3963,1,3,10,47,10,29,84228,72891,60334,51561,67,7.5,15.9,47.2,9.7,23.9,14.7,34,23,37,5,80,5,2,5,4,3,198965,1.300000,584629159,9349,56,33,11,95886403,20,654739314,546397159,8738,61,4,6,7,22,331946956,5308,44,17,18,16,3,0,1,1,1
Alief,101903,101 HARRIS,04,RE,43,45657,33,50,4,14,78.8,36,8,35,16,4,94.8,0.6,8.3,80.8,2386,73,89,91,81,80,95,68,71,82,87,71,91,57.7,13.4,893,18.1,6138,3037,1,3,10,49,8,29,98206,76944,62272,53043,63,7.4,15,43,9.4,24.1,10.9,34,22,36,9,69,8,2,17,2,2,233893,1.340000,451489346,9943,49,36,15,67674874,19,465472118,408986883,9007,62,3,6,10,18,254858548,5612,51,16,13,13,2,1,1,1,2
Channelview,101905,101 HARRIS,04,RE,11,8617,13,73,12,2,78.8,26,8,24,21,3,96.7,0.1,6.9,80.4,459,75,87,93,86,78,94,73,75,77,81,73,88,40.9,12.1,881,18.2,1179,575,1,3,6,49,8,33,85740,77420,61106,52077,53,7.3,15,40.4,10.1,26.4,10,21,24,51,3,69,8,5,13,4,2,263786,1.294000,79290339,9190,49,39,11,23845444,36,85620602,70265248,8144,64,6,5,9,16,44797441,5192,62,16,12,2,3,0,2,1,2
Crosby,101906,101 HARRIS,04,AA,7,5097,18,28,50,4,48.6,7,9,4,17,4,95.4,0.1,2.2,92,295,72,89,88,80,80,90,58,68,78,84,64,91,55.9,17.7,993,19,679,303,1,3,8,45,6,37,94307,69505,56713,49732,37,7.5,16.8,37.5,10.6,14.5,10.1,18,7,70,5,79,6,5,1,3,6,252188,1.440000,48234924,9653,49,40,11,6062199,16,46857450,39497542,7904,58,6,5,8,22,22911512,4585,57,17,7,2,2,5,5,3,1
Cypress-Fairbanks,101907,101 HARRIS,04,RE,80,105860,16,43,31,11,46.5,17,7,16,25,4,95.6,0.1,3.2,89.4,6111,81,93,94,88,88,98,70,75,91,92,72,94,66.6,38,1047,22.2,12734,6470,1,3,8,51,0,37,92335,67471,58489,50239,35,8.3,16.4,40.1,10.2,23.4,11.3,10,12,74,4,69,11,3,2,3,11,321299,1.430000,934465114,8994,38,53,9,98314811,14,1090294463,759541483,7311,63,4,5,10,19,479966556,4620,63,17,7,7,2,1,2,0,1
Deer Park,101908,101 HARRIS,04,RE,15,12533,2,45,48,5,43.5,10,10,10,16,6,95.7,0,3.7,88.2,898,85,93,95,91,91,96,70,80,89,90,77,98,38.6,29.8,1006,22.4,1742,846,1,3,8,49,10,31,131805,81804,64902,55705,26,7.2,14.8,30.4,13.1,30.7,8.8,1,13,83,3,77,9,1,5,3,5,542671,1.397000,220673481,17745,15,81,4,10716545,10,238936224,205274176,16506,32,6,3,49,11,64756546,5207,58,19,8,7,3,2,2,1,1
North Forest,101909,101 HARRIS,04,AU,11,7507,67,31,1,2,99.8,15,8,14,18,3,92.9,0.6,39.4,48.1,252,58,76,84,69,73,86,55,64,76,65,58,77,53.8,0.8,763,15.1,1089,514,1,3,10,47,6,32,102629,64030,57311,47349,92,6.9,14.6,54.4,10.2,34.1,9.7,80,7,6,7,68,9,9,8,5,1,199436,1.370000,80866420,10554,45,29,26,-435017,-1,81939565,72336147,9441,48,18,3,16,15,34856643,4549,37,12,37,2,4,6,1,1,0
Galena Park,101910,101 HARRIS,04,RE,24,21557,17,75,6,2,78.4,29,9,28,29,6,95.7,0.1,4.6,86.3,1362,79,90,95,88,86,96,78,78,82,85,78,92,42.8,8.6,889,17.5,3104,1536,1,2,10,50,4,33,111594,73289,59819,49787,62,6.9,14,41.5,9.8,26.5,10,24,28,42,6,60,11,2,17,5,6,262898,1.513000,228112818,10655,48,38,14,17454788,10,228426646,200445049,9363,58,7,5,12,18,116182360,5427,61,16,12,2,4,0,2,1,1
Goose Creek Cons,101911,101 HARRIS,04,AA,25,21097,17,55,26,3,65.4,12,10,11,20,7,95,0,6.4,86.2,1179,75,89,91,84,82,93,64,74,83,85,70,94,43.4,14.7,925,19,2919,1476,1,2,7,51,7,32,96901,73589,60892,51360,43,7.2,14.3,39.5,10.8,25.6,9.8,11,16,70,2,83,9,5,0,2,0,385359,1.302000,228048850,10954,35,55,11,33075340,19,243110200,195233498,9378,57,6,5,13,19,110769355,5321,63,16,11,1,3,2,2,1,2
Houston,101912,101 HARRIS,04,AA,297,203294,26,62,8,4,80.6,31,8,28,16,14,95.1,0.5,12.6,74.3,9118,73,87,91,83,80,94,66,73,90,91,70,89,69.7,21,934,18.8,24440,11811,0,2,12,48,6,31,113536,78680,61534,52417,74,8.3,17.2,35.9,11.8,30.1,12.4,37,26,31,6,79,8,1,3,3,7,516184,1.157000,2059825712,10251,24,62,14,199726439,12,2262766766,1860246362,9258,59,5,7,11,18,1104195599,5495,50,14,19,12,3,1,1,0,1
Humble,101913,101 HARRIS,04,RE,42,35678,18,27,49,7,34.2,9,8,9,17,7,95.3,0,2.5,92,2338,82,93,95,88,88,97,71,76,88,89,70,94,68.2,35.7,1028,22.5,4813,2481,1,3,13,52,8,23,86034,71943,54106,46525,28,7.4,14.4,41.3,10.3,21.8,14,9,10,78,3,73,11,3,3,4,7,276332,1.520000,348035862,10033,41,53,6,64483994,23,401407279,273653806,7889,61,4,6,10,19,165679598,4776,58,23,4,4,3,3,2,1,1
Katy,101914,101 HARRIS,04,RE,54,60573,9,34,43,13,30.2,14,8,13,15,6,96.2,0,2.7,93,3955,88,96,97,93,92,98,78,82,92,95,78,97,73.3,46.2,1078,23.7,7656,3869,1,2,7,51,9,31,111093,80215,63285,50799,31,7.9,15.7,34.5,11.1,22.8,16.9,5,12,80,3,79,6,1,2,3,9,321976,1.527000,572334109,9793,37,57,6,77732382,17,569468672,468106978,8009,62,4,6,11,17,291303040,4984,67,17,4,2,3,3,1,1,1
Klein,101915,101 HARRIS,04,RE,40,45092,14,36,39,12,39.4,13,8,12,23,6,95.6,0.2,6.3,85.3,2973,82,93,94,88,89,97,69,75,89,90,72,93,68,38.4,1036,22.9,5783,2995,1,3,7,52,7,32,92217,71711,61640,51967,31,7.8,15.1,31.3,12.5,24,9,9,10,79,2,71,12,1,4,4,9,277483,1.410000,413012912,9241,45,47,8,46954372,15,513458557,353024955,7899,61,4,6,10,19,216734768,4849,64,16,6,6,4,0,2,1,1
La Porte,101916,101 HARRIS,04,RE,14,7785,7,43,46,4,47.9,8,10,8,18,9,95.2,0,3.5,93.1,519,81,94,94,88,85,96,69,78,86,83,74,96,47.8,24.2,982,20.1,1073,495,1,3,10,46,10,30,107407,74370,59272,52075,31,7.3,15.7,33.1,12.3,26.1,11.4,8,10,77,4,79,8,5,4,4,0,767773,1.325000,101497392,12983,22,72,6,22918219,29,139700470,77247750,9881,54,8,5,14,18,41995074,5372,57,15,6,3,3,9,2,1,3
Pasadena,101917,101 HARRIS,04,RE,61,52010,6,82,8,4,16.8,28,8,25,18,5,95.6,0.2,11.7,78.6,2725,73,88,93,83,80,95,66,72,81,88,71,90,41.6,13.2,914,19,7177,3500,1,2,8,49,10,29,88509,79058,55681,49694,36,7.2,14.9,48.6,9.4,19,11.8,8,21,62,9,66,10,0,16,3,4,187392,1.350000,522998094,10073,55,30,15,63428850,17,505535077,449975196,8666,60,4,7,11,18,268906951,5179,54,16,16,3,3,4,1,1,3
Spring,101919,101 HARRIS,04,AA,36,36230,40,40,14,5,71.6,18,8,17,29,16,95.1,0.5,12.1,81.6,1950,67,86,90,76,75,93,58,69,79,84,63,91,61.1,13.7,902,17.8,5102,2269,1,2,11,44,10,32,95029,75331,57023,48565,54,7.1,16,51.9,8,19.4,19.8,27,17,54,2,79,8,1,1,6,7,201377,1.460000,334978700,9496,54,37,9,15613391,6,422356580,293151424,8310,59,5,6,11,20,172911788,4902,59,20,9,4,4,1,2,1,0
Spring Branch,101920,101 HARRIS,04,AA,45,32879,6,57,29,9,57.1,33,8,33,16,6,96,0.2,6.5,87.9,1909,76,87,91,84,84,96,62,65,93,90,63,94,83.1,48.1,1069,24.2,4581,2285,1,3,10,50,8,28,114666,81946,62797,51570,44,7.2,14.4,31.3,12.1,24.5,11,5,25,66,5,58,12,1,19,3,8,577584,1.395000,367282915,11331,19,69,12,40796859,16,498078802,305832359,9435,60,7,6,10,17,184391118,5688,59,18,11,5,3,0,2,1,1
Tomball,101921,101 HARRIS,04,RE,13,10609,5,25,62,8,25.7,11,7,10,28,8,96,0.2,2.6,91.9,635,85,95,93,91,89,98,69,78,88,91,72,98,70.2,36.6,1031,22.6,1408,659,1,3,8,47,10,31,108552,77600,61031,51999,20,7.5,16.1,29.2,12.3,20.1,8.6,2,10,87,1,76,6,2,3,4,8,482997,1.360000,110726090,10843,29,66,5,22412608,27,160649344,82384511,8067,57,6,6,11,20,47197467,4622,70,17,4,2,3,1,3,0,1
