"District.Name"
"PINE TREE ISD"
"PITTSBURG ISD"
"PLAINVIEW ISD"
"PLEASANT GROVE ISD"
"POOLVILLE ISD"
"PORT ARTHUR ISD"
"PORT NECHES-GROVES ISD"
"POTEET ISD"
"POTH ISD"
"POTTSBORO ISD"
"PRAIRIE LEA ISD"
"PRAIRIE VALLEY ISD"
"PRAIRILAND ISD"
"PRESIDIO ISD"
"PRIDDY ISD"
"PRINCETON ISD"
"PROGRESO ISD"
"QUANAH ISD"
"QUEEN CITY ISD"
"QUINLAN ISD"
"QUITMAN ISD"
"RAINS ISD"
"RALLS ISD"
"RAYMONDVILLE ISD"
"RED LICK ISD"
"RED OAK ISD"
"REDWATER ISD"
"RICARDO ISD"
"RICE CISD"
"RICE ISD"
"RICHLAND SPRINGS ISD"
"RIO HONDO ISD"
"RISING STAR ISD"
"RIVER ROAD ISD"
"RIVERCREST ISD"
"RIVIERA ISD"
"ROBERT LEE ISD"
"ROBINSON ISD"
"ROBSTOWN ISD"
"ROBY CISD"
"ROCHELLE ISD"
"ROCKDALE ISD"
"ROGERS ISD"
"ROMA ISD"
"ROOSEVELT ISD"
"ROSCOE ISD"
"ROSEBUD-LOTT ISD"
"ROTAN ISD"
"ROXTON ISD"
"ROYAL ISD"
"RULE ISD"
"RUNGE ISD"
"RUSK ISD"
"S AND S CISD"
"SABINAL ISD"
"SABINE ISD"
"SAINT JO ISD"
"SALTILLO ISD"
"SAM RAYBURN ISD"
"SAN ANGELO ISD"
"SAN ANTONIO ISD"
"SAN AUGUSTINE ISD"
"SAN BENITO CISD"
"SAN ELIZARIO ISD"
"SAN FELIPE-DEL RIO CISD"
"SAN PERLITA ISD"
"SAN SABA ISD"
"SAN VICENTE ISD"
"SANFORD-FRITCH ISD"
"SANGER ISD"
"SANTA ANNA ISD"
"SANTA FE ISD"
"SANTA MARIA ISD"
"SANTA ROSA ISD"
"SANTO ISD"
"SAVOY ISD"
"SCHULENBURG ISD"
"SCURRY-ROSSER ISD"
"SEGUIN ISD"
"SEYMOUR ISD"
"SHALLOWATER ISD"
"SHAMROCK ISD"
"SHARYLAND ISD"
"SHELBYVILLE ISD"
"SHEPHERD ISD"
"SHINER ISD"
"SIDNEY ISD"
"SIERRA BLANCA ISD"
"SILSBEE ISD"
"SIMMS ISD"
"SINTON ISD"
"SKIDMORE-TYNAN ISD"
"SLATON ISD"
"SLOCUM ISD"
"SMITHVILLE ISD"
"SMYER ISD"
"SNOOK ISD"
"SOCORRO ISD"
"SOMERSET ISD"
"SOUTH SAN ANTONIO ISD"
"SOUTHLAND ISD"
"SOUTHSIDE ISD"
"SOUTHWEST ISD"
"SPLENDORA ISD"
"SPRING HILL ISD"
"SPRING ISD"
"SPRINGLAKE-EARTH ISD"
"SPRINGTOWN ISD"
