SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Poteet,007906,007 ATASCOSA,20,AA,5,1694,0,84,15,0,74.4,5,10,5,21,5,95.4,0,12,114,85.6,58,80,87,70,60,87,.,55,77,.,53,94,40.4,5.3,884,17.9,266,121,1,3,5,45,15,32,69624,54722,47313,39262,56,6.4,14,44.1,11.3,24.7,33.9,1,35,63,1,78,9,7,2,4,0,75913,1.493000,15187823,8882,69,20,11,2455281,21,14145434,13336531,7799,54,9,6,11,20,7169744,4193,56,14,22,1,3,1,2,2
Bellville,008901,008 AUSTIN,06,AA,5,2182,13,20,66,1,35,7,14,7,26,14,96.3,0,0,155,92.2,80,94,95,86,84,92,62,69,85,.,67,93,75.6,38.4,1024,22.6,331,163,1,3,5,49,12,30,99372,64839,45867,42227,18,6.6,13.4,21.3,13.8,16.9,9.4,2,1,96,0,78,10,2,3,5,3,324826,1.580000,19161669,8738,33,62,5,3431099,21,30161538,15042865,6859,56,8,6,11,19,8442434,3850,66,15,7,0,6,1,4,0
Sealy,008902,008 AUSTIN,06,AA,4,2586,14,37,48,1,49.9,11,14,11,27,8,96.5,0.7,2.9,155,92.4,74,90,94,81,75,93,60,63,85,90,64,99,65.1,21.4,996,19.9,381,204,1,3,9,53,13,21,82682,66174,53805,44338,18,6.8,12.7,33.4,12.5,9.7,15.5,6,2,91,0,73,10,4,2,6,6,342368,1.484000,25679251,10019,42,46,11,1917012,10,27693484,21838428,8521,59,6,4,10,20,12934772,5047,58,23,10,1,4,1,3,1
Brazos,008903,008 AUSTIN,06,AA,3,828,15,39,46,0,44.9,8,14,7,22,5,96.1,0,13.7,46,84.3,80,93,93,87,80,96,61,80,84,.,70,93,78.4,10.3,870,16.6,137,73,1,3,6,54,11,25,69725,74298,46507,44366,19,6.1,11.3,27.2,14,16.7,8.3,0,5,95,0,69,7,1,13,4,6,418543,1.535000,8987109,10548,14,82,5,1448440,18,10468977,7629989,8955,55,7,6,13,19,4192453,4921,68,13,10,0,3,0,5,0
Muleshoe,009901,009 BAILEY,17,AA,5,1490,1,72,27,0,75.2,17,14,15,14,6,96.2,0,4.7,81,90.7,66,88,84,77,70,87,17,61,81,.,61,92,69,22.4,.,20.1,227,122,2,3,7,54,15,18,72508,59758,47933,39997,23,6.6,12.2,31.6,12.3,15.9,14.6,0,9,91,0,73,9,5,9,3,1,132367,1.670000,12949138,8627,57,29,14,1557376,13,12534179,12243105,8157,58,7,6,10,20,7062837,4705,52,13,23,2,4,0,5,2
Medina,010901,010 BANDERA,20,RE,2,347,4,16,79,1,49.9,4,25,4,26,3,97.3,0,0,23,95.5,79,93,95,88,82,92,.,79,78,.,70,85,.,14.3,999,18.7,75,38,3,3,7,51,12,25,73980,69966,48147,38868,5,4.6,9.1,29.2,12.9,13.1,24.3,0,3,97,0,64,14,4,0,7,11,428801,1.260000,4380017,13313,49,45,6,2102696,52,4495666,3785916,11507,57,9,6,10,18,2172469,6603,52,21,15,2,7,0,3,0
Bandera,010902,010 BANDERA,20,AA,4,2534,0,23,76,1,46.3,4,13,4,30,10,95.7,0,1.7,158,86.1,79,93,92,85,81,96,83,67,82,71,73,98,82.9,37.2,1023,21.6,365,185,1,3,6,51,9,30,76780,60375,51165,41808,10,6.9,13.7,23.8,12.6,18.4,13.1,0,5,95,0,72,10,8,1,4,5,334769,1.510000,22103588,8744,29,61,10,4053668,22,22908476,19925167,7882,54,7,4,11,24,10794686,4270,59,17,12,2,5,1,4,0
Bastrop,011901,011 BASTROP,13,AA,12,8155,10,40,50,1,53.9,12,13,10,21,12,94.7,0.1,8.4,460,81.6,65,86,88,73,67,86,45,57,74,79,55,96,47.8,24.4,975,18.9,1036,549,1,3,7,53,11,25,84512,65447,52132,44929,27,7.9,14.9,28.8,12,19.9,14.8,5,11,83,0,61,12,9,7,4,7,259168,1.622000,67519204,8482,32,58,11,12265692,22,64198649,55881711,7020,55,5,5,10,24,30586932,3843,52,23,9,5,4,4,2,1
Elgin,011902,011 BASTROP,13,AA,7,3556,15,49,36,1,60.7,17,11,16,21,5,95.5,0.2,8.6,187,80.9,55,83,80,63,66,85,43,45,71,72,45,97,59.5,16.5,928,18.5,461,231,2,3,7,50,7,32,80072,57520,46972,42536,34,7.7,15.4,46.5,10.7,18.3,21.2,4,11,84,1,82,10,1,6,0,1,197625,1.650000,29382641,8781,44,47,9,5872125,23,29497284,24414914,7297,55,7,6,12,20,13473561,4027,60,16,8,7,4,1,3,1
Smithville,011904,011 BASTROP,13,AA,4,1731,10,19,70,1,47.5,4,12,4,21,5,95.5,0,5.1,125,87,68,88,84,77,72,92,44,49,75,.,55,94,62,30.6,1012,20.8,255,135,2,3,7,53,10,25,70084,55416,46560,40761,12,6.8,12.8,28.1,12.9,17.7,11.2,3,1,96,0,76,10,4,1,5,4,257737,1.618000,16276817,8914,40,53,6,2347537,18,15399739,13566851,7430,54,7,5,13,21,7301701,3999,57,19,13,1,5,1,4,1
