SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT06R,DA0708DR06R,DADC406R,DA0GR06N,DAGC406R,DA311TA07R,DA311TR07R,DA311TW07R,DA311TM07R,DA311TC07R,DA311TS07R,DB311TA07R,DH311TA07R,DW311TA07R,DO311TA07R,DE311TA07R,DA0SU07R,DA0CT06R,DA0CC06R,DA0CS06R,DA0CA06R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Sanford-Fritch,117903,117 HUTCHINSON,16,AA,4,902,1,7,91,1,34.5,0,13,0,18,5,94.5,0,2.8,62,90.1,63,87,89,73,59,86,30,68,63,56,59,98,60,16.7,942,19.4,153,82,1,3,3,53,17,23,81489,63297,36586,38355,6,5.9,11,32.9,11.2,3.7,12.6,0,2,96,1,77,11,4,0,6,3,163191,1.425000,8001139,9271,53,40,8,2907270,45,8045746,7020418,8135,57,7,8,13,16,3975822,4607,66,16,6,0,4,1,5,2
Plemons-Stinnet-Phillips,117904,117 HUTCHINSON,16,AA,4,616,1,10,85,4,50.3,1,15,1,18,3,95.3,0,8.6,52,91.4,79,95,.,84,82,90,.,65,82,62,72,.,83.7,16.7,.,19.3,136,68,2,3,4,50,12,30,70918,69788,51802,41693,5,4.5,9.1,29.4,14.6,10.3,26.1,1,4,94,0,76,10,4,0,4,5,1793609,1.367000,7924844,12639,9,84,7,3664513,24,8541875,7405118,11810,53,9,7,13,19,3949371,6299,61,17,12,0,5,0,5,1
Spring Creek,117907,117 HUTCHINSON,16,AA,1,95,2,24,73,1,61.1,7,10,8,0,11,95.3,.,.,0,.,60,93,.,64,.,.,.,55,63,.,68,.,.,.,.,.,15,6,3,3,0,44,20,30,67157,67157,.,37324,13,6.4,14.6,69.2,6.4,0,0,0,0,100,0,100,0,0,0,0,0,362279,1.092000,773959,7818,44,45,11,646437,100,715677,691953,6989,47,10,11,15,17,322567,3258,42,17,39,0,0,2,0,0
Irion County,118902,118 IRION,15,RE,2,354,3,31,66,0,43.2,1,10,1,47,7,97.2,0,0,28,100,83,95,98,89,76,96,71,76,87,.,75,87,88,22.7,1004,21.2,58,32,2,3,3,55,14,24,90040,66092,38880,41453,17,6.1,11.2,28.6,14,20.6,5.1,0,3,97,0,85,7,0,0,5,2,1103954,1.370000,4720062,13296,8,86,5,1266606,21,3770765,3628344,10221,49,12,6,13,20,1778329,5009,64,13,12,0,4,1,6,1
Bryson,119901,119 JACK,09,AA,1,255,2,10,88,0,52.5,0,12,0,29,9,96,0,4.5,19,86.4,63,89,96,71,61,78,.,62,65,.,53,.,70.6,16.7,.,20.5,44,21,3,3,4,49,23,18,40099,51738,51565,40579,2,5.9,12,18.8,11.4,11.7,38.9,0,0,100,0,77,4,6,0,12,1,404996,1.435000,2683463,9383,35,56,9,508397,22,2252670,2195018,7675,58,10,4,15,14,1261330,4410,64,11,14,0,6,1,5,0
Jacksboro,119902,119 JACK,09,AA,4,981,2,16,82,1,35.9,6,12,6,29,6,95.9,0,1.4,64,92.9,76,93,96,82,76,87,75,65,77,.,68,.,78.6,25,1016,21.3,149,88,1,4,5,59,16,15,78110,57846,50633,40183,3,6.6,11.1,17,13.5,11.4,22.2,0,2,98,0,80,10,3,0,7,0,585955,1.657000,10051823,10363,29,66,5,914131,10,9261700,8594579,8860,59,7,5,10,19,5028408,5184,66,12,8,1,6,0,6,2
Perrin-Whitt Cons,119903,119 JACK,09,AA,2,388,0,11,89,1,49.7,3,9,3,25,9,96,0,11.1,25,85.2,70,94,96,76,74,89,.,50,72,.,63,98,54.5,8.3,990,20.6,62,37,2,3,1,60,10,25,69000,62069,38794,40073,3,6.2,10.4,24.2,11.7,2.7,15.2,0,0,100,0,81,6,7,0,4,1,279122,1.530000,3692550,9117,47,46,7,757447,23,3537888,3229836,7975,58,5,6,10,21,1876521,4633,67,8,13,0,4,1,7,0
Edna,120901,120 JACKSON,03,AA,5,1475,17,35,48,0,51.5,8,14,8,30,8,95.4,0,2.4,79,88.2,68,88,93,77,69,89,54,57,78,.,57,91,44.9,29,1026,21.4,206,107,0,4,6,52,19,19,95000,61563,44373,40842,23,7.2,13.8,33.7,13.4,11.5,18.6,4,12,84,0,78,10,2,1,5,4,292979,1.610000,14097140,9629,43,42,15,3392153,28,14065397,11565764,7900,61,7,5,10,16,7105843,4854,54,25,13,1,4,0,4,0
Ganado,120902,120 JACKSON,03,AA,2,656,5,45,50,0,54.6,8,10,8,32,6,97.1,0,0,50,97.9,73,93,92,80,72,95,50,66,81,.,63,88,55.3,19.2,975,21,102,54,2,3,3,52,11,29,59715,52247,42572,42135,18,6.4,12.2,28.9,14.1,11,26.9,2,7,91,0,89,5,2,1,4,0,193095,1.425000,5439661,8305,56,38,6,1429246,28,5039220,4794935,7321,59,7,4,12,18,2838970,4334,59,12,15,2,6,2,5,0
Industrial,120905,120 JACKSON,03,AA,4,1024,2,21,77,0,29.2,3,9,3,31,8,96.7,0,1.4,71,95.9,84,96,99,91,78,93,70,72,87,.,75,86,64.6,23.8,1010,20.3,167,82,2,2,4,49,13,30,66985,62886,49908,42398,10,6.1,12.4,21.2,15.2,11.6,18.2,0,1,99,0,79,7,2,1,6,4,513949,1.590000,9919639,10091,11,86,3,7139220,70,11280533,9270458,9431,53,8,5,15,19,4926552,5012,62,12,10,2,5,4,5,1
Brookeland,121902,121 JASPER,05,AA,2,338,7,4,88,1,60.4,0,20,0,25,1,96.1,1.5,6.3,15,81.3,59,86,81,68,73,91,36,78,60,.,54,98,54.5,0,.,19.7,68,36,3,3,3,53,9,29,73218,51329,37875,40949,4,5,9.4,25.1,14.8,24.8,9.1,0,0,100,0,85,6,1,0,8,0,381401,1.370000,6451033,21648,12,28,60,4412849,96,3976601,3749288,12582,60,8,4,11,17,2245027,7534,76,8,9,0,4,1,3,0
Buna,121903,121 JASPER,05,AA,3,1489,4,2,92,2,35.1,1,13,1,21,3,95,0,1.9,99,91.6,70,92,89,77,72,92,23,70,71,67,61,75,61.6,7.5,887,.,230,112,1,3,26,49,13,9,81355,60621,18920,39911,5,6.5,13.3,28.4,13.3,12.5,16.7,1,1,98,0,78,10,4,0,6,3,133138,1.570000,14913090,10221,49,25,25,3820748,39,13155432,12079085,8279,54,6,5,16,19,6524411,4472,56,24,8,1,4,3,5,0
Jasper,121904,121 JASPER,05,AA,6,2953,42,9,48,1,64.9,5,13,4,26,5,94.8,0,4.8,164,88.2,60,87,86,67,67,83,43,59,72,94,50,76,68.4,18.3,978,19.3,479,219,2,2,5,46,18,28,68904,59559,48554,39008,33,6.2,13.5,31.9,14.1,30.9,24.2,16,1,83,0,65,13,10,1,5,6,185539,1.600000,28172344,9775,43,33,25,3546878,17,26824764,24994187,8673,51,7,5,16,21,12767331,4430,52,16,18,1,5,5,4,0
Kirbyville Cons,121905,121 JASPER,05,AA,3,1482,16,4,80,0,55,2,13,2,30,4,94.6,0,6.9,104,91.4,70,92,94,78,72,90,54,72,73,.,67,92,67,11.5,984,18.9,208,109,1,2,6,52,10,29,74346,62869,47871,39672,10,7.1,13.7,29.8,12.4,14.1,18.2,4,1,95,0,81,7,2,0,7,2,93461,1.490000,13035758,8548,59,23,18,1484998,15,12848795,10806643,7086,55,6,4,12,23,5925615,3886,62,12,16,1,6,0,3,1
Evadale,121906,121 JASPER,05,AA,2,466,1,1,99,0,30,0,13,0,29,3,94.8,0,3.2,29,93.5,71,92,89,78,76,86,.,.,70,.,61,71,50,23.1,964,.,75,39,0,4,7,52,12,25,.,52333,44568,42622,0,6.2,11.9,33.2,11.5,2.9,27.5,0,0,100,0,81,12,1,0,6,0,837041,1.577000,5205473,11491,8,86,6,1046708,15,5158275,4395159,9702,55,13,4,12,15,2427952,5360,63,18,7,0,7,0,5,0
Ft Davis,122901,122 JEFF DAVIS,18,AA,3,347,0,31,68,1,50.1,6,29,5,32,3,96.6,0,0,45,66.7,72,89,96,76,79,94,.,50,81,.,76,80,.,29.3,988,20.7,79,44,1,6,6,56,10,21,84864,63240,45478,39368,19,4.4,7.9,34.2,9.3,23,19.1,0,9,91,0,56,40,0,0,4,0,401245,1.340000,5633219,16141,56,39,5,2935942,56,4827036,4524089,12963,54,10,10,13,13,2460430,7050,38,40,13,0,2,1,6,0
Valentine,122902,122 JEFF DAVIS,18,AA,1,50,0,42,58,0,70,8,8,8,6,8,96.9,.,.,4,.,61,97,91,69,67,.,.,54,67,.,52,60,.,.,.,.,17,10,6,0,0,60,11,23,75000,.,.,41112,29,2.9,4.8,28.6,13.4,9.5,46.6,0,29,71,0,85,5,2,0,1,6,650906,1.194000,1593698,38871,67,25,8,1496500,115,1207595,1028127,25076,59,13,7,11,10,601412,14669,64,8,22,0,0,0,6,0
Academy of Beaumont,123801,123 JEFFERSON,05,AU,1,366,95,3,3,1,98.1,2,6,1,0,0,95.2,1.8,.,0,.,27,65,50,29,.,38,28,.,.,.,26,97,.,.,.,.,39,21,0,3,10,54,33,0,.,27389,23648,30151,92,9.4,17.5,52.4,7.2,9.6,38.4,86,0,14,0,48,5,48,0,0,0,0,0.000000,2436518,6844,83,0,17,-583889,-36,2224935,2184683,6137,50,13,16,12,9,1101665,3095,66,8,25,0,0,0,0,0
Tekoa Acad of Accel Studies,123803,123 JEFFERSON,05,AA,1,338,95,3,2,1,95.6,0,10,0,6,0,92.7,3.6,.,0,.,38,84,82,45,44,83,36,.,.,.,36,93,.,.,.,.,49,22,2,0,2,45,0,51,141211,.,42000,32591,96,6.9,15.4,68.2,5,0,74.4,86,0,9,5,100,0,0,0,0,0,0,0.000000,3577237,10429,50,5,45,529304,23,3035498,3027910,8828,45,26,3,9,17,1355038,3951,69,3,29,0,0,0,0,0
R Milburn (Beaumont),123804,123 JEFFERSON,05,EA,1,204,92,2,2,4,78.4,0,8,0,45,0,77.3,.,11.6,51,46.4,14,60,.,17,13,88,15,.,.,.,15,94,2.4,.,.,.,13,11,0,8,0,85,0,8,.,62000,.,39171,92,15.7,18.5,81.8,3.4,0,20.2,82,0,9,9,100,0,0,0,0,0,0,0.000000,1261690,5462,94,0,6,422944,32,1131451,1116206,4832,37,27,13,13,11,413457,1790,51,7,31,0,10,0,0,0
Ehrhart,123805,123 JEFFERSON,05,AA,1,199,66,8,26,0,85.4,0,8,0,0,0,95.1,1.4,.,0,.,45,72,85,54,56,90,37,20,61,.,39,85,.,.,.,.,28,19,7,7,7,66,7,5,60000,47500,37076,33081,36,7,10.6,52,7.6,5.3,54.5,31,0,69,0,95,5,0,0,0,0,0,0.000000,1772272,7807,85,1,14,0,0,1658059,1651065,7273,60,12,6,14,8,996088,4388,62,12,22,0,4,0,1,0
Nederland,123905,123 JEFFERSON,05,RE,8,4977,4,9,81,5,29.2,3,13,3,28,8,96.2,0.1,3.6,279,88.4,77,93,95,84,83,95,63,74,78,83,71,77,72,26.3,971,19.4,662,341,1,2,6,52,8,30,80239,68973,51289,44196,4,7.5,14.6,21.6,14.6,14.1,7.5,0,3,97,1,73,10,3,1,4,8,260521,1.380000,41214324,8409,28,53,19,7757828,23,39573324,35417883,7227,54,7,4,18,17,19112803,3900,65,17,4,1,5,1,6,1
Port Arthur,123907,123 JEFFERSON,05,AA,14,9263,51,37,5,7,84.5,16,10,9,20,2,93.5,0.8,24,336,61,51,78,88,60,50,78,43,56,64,74,50,78,63.9,5.3,794,17.6,1174,562,0,3,6,48,9,33,92874,63312,50611,44173,61,7.9,16.5,28.5,13,19.5,17.8,38,6,54,2,63,8,10,5,5,9,398074,1.484000,96389278,10465,22,68,10,10108533,15,114502225,86919314,9436,59,8,5,12,17,50875462,5523,45,13,30,3,3,3,2,1
Port Neches-Groves,123908,123 JEFFERSON,05,AA,12,4641,3,10,83,5,25.4,2,11,2,26,3,95.6,0,5.4,346,89.7,74,93,90,81,77,94,59,62,76,73,64,82,69,27.1,987,20.9,609,324,1,3,8,53,9,26,83415,67855,52285,45174,4,7.6,14.3,17,15.5,17.6,9.1,0,4,96,0,79,11,1,0,6,2,612936,1.478000,48847839,10528,8,74,18,8939912,19,41725135,35019470,7547,55,4,5,17,19,19144197,4126,62,19,7,1,6,4,3,0
Beaumont,123910,123 JEFFERSON,05,AA,33,19463,64,14,19,3,66.4,7,10,6,20,10,94.5,0.5,19.3,978,72.4,63,86,90,70,68,87,55,67,81,85,55,96,75.7,15.6,911,19.1,2889,1481,1,2,5,51,11,30,87042,71959,54823,46407,60,6.7,13.1,31.7,12.5,26.6,11,40,3,56,1,74,7,6,1,4,7,396362,1.363000,204391792,10463,14,60,26,22234940,14,193962244,174892925,8953,56,6,5,16,17,98259457,5030,55,15,17,2,4,3,3,2
Sabine Pass,123913,123 JEFFERSON,05,AA,1,247,21,11,66,1,54.3,1,9,1,30,10,96.1,0,0,27,100,76,96,79,84,76,99,87,79,71,.,63,85,88,22.7,941,.,53,29,2,2,4,54,2,36,92800,58500,41233,38215,14,4.6,8.5,51.7,6.9,13.8,34.6,7,3,86,3,91,5,0,0,4,0,1875958,1.542000,12270199,49477,2,43,55,5555503,86,4213851,3188891,12858,52,8,1,24,15,1641169,6618,82,6,6,0,0,0,6,0
Hamshire-Fannett,123914,123 JEFFERSON,05,AA,5,1776,5,10,84,1,26.4,3,12,2,32,7,95.6,0,4.9,132,90.1,75,94,96,82,69,94,63,79,75,90,72,93,72.4,14.3,933,19.1,233,129,1,3,6,55,8,26,79934,59284,47640,38789,12,7.6,13.7,33.3,11.8,3.4,14,2,4,94,1,77,9,5,1,5,4,271621,1.625000,17383491,9701,30,51,19,4636468,35,14163608,12094835,6749,54,6,6,13,21,6492700,3623,67,13,7,1,5,3,5,0
Jim Hogg County,124901,124 JIM HOGG,01,AA,3,1090,0,96,3,1,77.2,23,10,23,23,8,93.1,0,6.7,87,93.3,60,85,88,69,73,82,.,60,64,.,55,89,79.5,5.2,936,16.9,185,86,1,4,5,47,12,31,83498,60049,50812,44036,92,5.9,12.6,31.8,12.3,11.6,15.2,0,91,9,0,67,7,7,6,6,7,458402,1.458000,12746545,11340,27,57,16,1092408,10,14840853,11078201,9856,54,6,6,16,18,6010130,5347,45,15,24,1,6,4,5,0
Alice,125901,125 JIM WELLS,02,AA,10,5556,0,91,8,1,67.5,6,10,5,23,8,92.4,0.8,20.8,261,67.3,52,83,93,61,48,82,54,50,69,76,46,92,90.3,7.4,918,17.7,822,372,1,3,6,45,14,31,71447,60717,50127,41536,78,6.8,14.9,35.9,11.2,20.7,18.3,1,65,33,1,80,10,1,0,5,2,150022,1.515000,47729919,8491,52,33,16,6343915,17,50043245,43873535,7805,54,7,4,14,21,23533726,4187,58,14,18,0,5,1,4,1
Ben Bolt-Palito Blanco,125902,125 JIM WELLS,02,AA,3,579,0,92,8,0,69.8,10,11,9,23,8,94.3,0,5.9,31,91.2,56,79,85,65,68,81,.,53,79,.,45,73,75,5.6,.,18.9,109,52,1,4,5,47,16,27,92456,55345,36208,38704,88,5.3,11.2,29.1,13.6,9.4,19.5,2,79,15,4,76,10,2,0,7,4,103685,1.377000,6303250,10436,72,16,12,1115064,23,6248169,5651632,9357,62,7,5,10,17,3479124,5760,55,14,24,1,6,0,0,0
Orange Grove,125903,125 JIM WELLS,02,AA,4,1717,0,55,44,1,59.4,3,11,2,22,8,95.6,0,4.1,92,89.8,71,93,93,80,69,85,.,66,78,.,66,90,91.3,11,.,18.8,249,122,1,2,14,49,14,19,81770,58855,31200,41920,42,6.9,14.1,27.1,13.8,12.9,10.6,0,26,74,0,75,9,5,0,5,7,77391,1.459000,13471529,8155,73,18,10,1061867,9,13835669,12467103,7547,55,6,5,14,20,6826089,4132,54,12,19,1,5,4,4,0
Premont,125905,125 JIM WELLS,02,AA,3,754,1,91,9,0,71.1,12,15,11,43,9,93.2,0.7,25,64,71.4,54,81,92,64,57,82,.,53,58,.,49,74,73.6,7.7,943,17.6,135,79,2,4,4,59,9,23,59214,56401,47919,39875,87,5.6,9.5,33.8,14.2,21,23.9,0,82,18,0,80,7,2,2,6,3,172430,1.453000,9180350,11334,57,24,19,189098,3,9617396,8748173,10800,56,8,5,13,17,4933945,6091,52,10,30,0,4,2,2,0
La Gloria,125906,125 JIM WELLS,02,AA,1,94,0,82,17,1,42.6,5,6,5,0,20,97,.,.,0,.,63,70,80,91,75,.,.,62,63,.,44,.,.,.,.,.,14,7,7,0,0,52,7,34,66400,.,.,38885,83,6.5,12.5,26.7,11.2,13.3,30.8,0,80,20,0,91,7,2,0,0,0,320476,1.370000,702363,9365,27,58,15,58506,7,762186,761703,10156,53,17,7,11,12,404762,5397,70,6,23,0,0,0,0,0
Alvarado,126901,126 JOHNSON,11,AA,7,3314,4,23,72,1,50.5,7,11,6,18,5,95.3,0,13.1,175,73.8,64,88,95,69,74,87,51,55,68,70,57,91,56.1,25.3,960,20.7,436,206,1,3,6,47,15,27,81818,59088,50453,43768,11,7.6,16.1,43.1,10.5,12.6,25.2,1,5,93,1,81,10,1,2,3,3,203772,1.603000,28426272,8440,48,43,10,2949554,12,29468466,24109765,7158,56,7,5,11,20,13574054,4030,59,18,13,1,4,1,4,1
Burleson,126902,126 JOHNSON,11,AA,13,8522,3,12,84,1,26.5,2,10,2,25,6,96,0.1,7.3,436,83.9,77,93,94,83,79,93,60,66,79,76,65,84,56.7,34.3,1018,21.7,1087,529,1,3,6,49,11,30,85552,64031,50811,44399,6,7.8,16.1,35.9,10.9,18,15,0,1,99,0,81,9,3,1,5,1,253756,1.590000,62084240,7783,34,60,6,8587179,17,59360381,51132807,6410,57,7,6,11,19,28958214,3630,64,17,5,0,4,5,3,2
Cleburne,126903,126 JOHNSON,11,AA,11,6609,5,34,60,2,52.5,16,12,16,20,12,95.2,0.1,4,339,86.5,70,90,91,79,67,91,52,56,79,80,60,88,46.8,21.3,988,20.8,930,444,1,2,6,48,14,29,81091,64077,52092,46188,21,7.1,14.9,30.2,12.8,15,17.6,2,8,89,0,71,9,5,7,4,4,281720,1.567000,51476164,7890,30,60,10,4896452,11,57215032,45915370,7038,62,7,4,11,16,28405903,4354,61,17,10,6,3,2,3,0
Grandview,126904,126 JOHNSON,11,RE,4,1114,4,15,81,1,38.3,4,13,4,21,4,96.5,0,0,75,97.5,84,93,96,90,86,94,82,77,85,.,78,86,81,25.5,1000,20.8,148,87,1,3,5,59,12,19,63950,56521,47440,40817,9,7.5,12.8,30.8,11.9,9.5,21.5,0,3,97,0,80,9,2,2,5,3,216875,1.445000,9710212,8900,62,33,5,1669686,19,8631028,7619258,6984,66,4,5,11,14,5048437,4627,67,18,7,1,4,1,3,0
Joshua,126905,126 JOHNSON,11,AA,9,4464,2,17,81,1,42.2,5,10,5,18,5,96.1,0,3.4,301,90,81,93,95,88,80,93,82,73,83,88,77,98,48.6,18.7,970,19.1,630,328,1,3,6,52,10,28,88142,62943,50142,45178,11,7.1,13.6,31.2,11.1,12.8,13.6,1,3,96,0,79,11,5,0,3,2,183110,1.560000,37211488,8247,50,42,8,13613679,43,35658769,32649984,7236,60,5,6,11,18,19639976,4353,68,14,8,0,4,3,4,0
Keene,126906,126 JOHNSON,11,RE,4,815,9,41,36,14,76.9,20,17,19,14,5,95.7,0,0,43,89.6,74,90,93,83,76,93,57,77,78,62,71,78,51.5,35.3,1048,21,143,73,1,3,5,51,19,21,78192,70736,47687,40063,23,5.7,11.2,27.5,11.5,19.5,16.3,1,6,93,0,73,8,7,5,4,4,147513,1.370000,8009552,9581,60,29,11,1699949,26,7797758,7603045,9095,59,7,8,12,14,4460352,5335,58,13,17,1,3,0,3,5
Rio Vista,126907,126 JOHNSON,11,AA,4,899,0,8,91,0,35.9,1,14,1,19,13,96.5,0,3.5,56,96.5,71,90,85,80,74,92,.,75,71,.,59,88,51,16,961,20.5,172,84,1,2,4,49,6,37,79893,73598,39684,40190,5,5.2,10.7,33.4,10.8,15.3,21.7,0,2,98,0,79,11,1,0,6,2,185914,1.490000,11080063,12422,49,33,18,536873,7,11043859,10260285,11503,52,7,4,11,26,5359120,6008,40,47,7,0,2,1,2,1
Venus,126908,126 JOHNSON,11,AA,5,1740,3,37,58,3,64.8,13,17,13,24,6,95.3,0,4.7,102,81.9,61,85,88,71,63,83,50,48,70,66,55,82,46,22.5,956,19.5,226,120,1,4,6,53,17,20,109657,57287,54915,41386,10,7.7,14.6,34.7,11.6,9.3,27.4,1,4,94,1,84,7,0,2,6,0,116159,1.470000,13642281,8011,60,31,9,1579916,12,13697828,12717304,7468,55,7,6,11,21,7036051,4132,56,14,19,1,5,1,4,1
Godley,126911,126 JOHNSON,11,AA,4,1491,1,14,84,1,45.2,6,16,6,31,5,96,0,2.7,64,87.8,68,89,89,75,77,90,.,62,69,40,63,78,40.7,18.2,1002,.,218,111,1,3,6,51,15,24,85656,63908,47473,41429,5,6.8,13.4,32.1,11,11.9,9.9,0,1,99,0,78,13,4,0,6,0,352515,1.302000,13069024,9409,54,41,5,950000,8,11540592,10206609,7348,53,6,7,13,22,5429842,3909,62,17,9,1,4,1,7,1
Anson,127901,127 JONES,14,AA,3,762,3,42,55,0,57.2,8,16,8,27,6,96.5,0,0,39,95.8,74,94,93,80,74,94,57,66,80,.,69,97,51.5,17.6,973,19.8,142,79,1,2,2,56,15,23,54076,57184,42694,37762,23,5.4,9.6,35.3,10.8,10.2,13.7,0,8,92,0,71,11,9,1,5,2,123726,1.370000,6729646,9269,67,23,10,1593484,26,6994118,6487259,8936,58,6,4,11,21,3746227,5160,55,15,15,1,6,1,8,0
Hamlin,127903,127 JONES,14,RE,3,489,6,39,54,1,64.2,4,15,4,22,8,96.7,1.1,0,32,100,76,88,92,84,83,92,64,68,81,.,70,80,86.4,10.5,.,19.5,84,45,1,4,3,53,13,26,72000,59175,51064,41106,16,5.8,10.9,20.1,15.7,8.9,11.3,2,4,93,0,75,9,7,0,7,2,156866,1.482000,5096397,10296,62,26,12,919582,20,5268536,4466240,9023,54,9,7,11,19,2417007,4883,48,19,21,0,6,1,6,0
Hawley,127904,127 JONES,14,AA,3,768,1,8,90,1,51.3,0,17,0,44,3,95.7,0,0,40,92.9,73,91,92,83,72,91,.,61,74,80,68,96,65.7,8.7,.,19.7,122,65,2,2,4,53,10,28,65351,47529,38883,37372,8,6.3,11.8,36.7,10,6.2,15.2,0,4,96,0,79,7,5,0,8,1,78985,1.370000,6795822,9208,70,24,6,1203321,20,6453906,5947307,8059,55,10,5,13,17,3281961,4447,57,16,12,0,8,1,6,0
Lueders-Avoca,127905,127 JONES,14,AA,2,115,10,5,84,1,74.8,0,17,0,25,14,95.6,0,0,9,100,53,89,73,68,36,75,.,.,56,.,49,87,66.7,.,.,.,31,16,2,4,2,51,11,30,85005,47570,38840,37279,0,3.7,7.3,38,12.2,0,23.7,0,0,100,0,71,9,7,0,12,0,405048,1.430000,1853951,15450,58,32,10,396286,27,1689079,1557014,12975,57,13,3,11,17,883905,7366,40,25,17,0,12,1,6,0
Stamford,127906,127 JONES,14,AA,3,640,12,43,45,1,68.8,3,13,2,33,7,95.8,0.9,3.8,50,92.5,72,90,91,81,68,86,56,63,82,.,63,97,75,9.1,.,19.6,128,60,2,4,5,47,15,27,50624,59906,44212,39467,22,5,10.6,16.6,12.8,5,24.2,2,3,95,0,77,10,4,1,8,0,97925,1.446000,8571129,12812,59,14,27,500000,9,7850670,7560385,11301,53,9,5,10,22,3968696,5932,30,44,17,0,5,0,4,0
Karnes City,128901,128 KARNES,03,RE,6,972,3,61,35,0,65.2,2,12,2,22,12,97,0,0,86,96.6,76,94,95,81,85,93,50,68,88,.,71,99,40,7.1,915,18.9,187,82,2,4,11,44,16,25,82026,57200,36829,40256,32,5.2,11.9,20.2,13,12.3,10.8,0,11,89,0,77,9,1,0,6,8,199914,1.319000,10902422,11205,48,27,26,2273978,28,10301575,9787640,10059,60,8,4,8,19,5879615,6043,59,14,16,0,5,4,3,0
Kenedy,128902,128 KARNES,03,AA,5,738,2,80,18,1,69.4,1,13,1,39,7,95.4,0,5.2,66,87,55,86,90,66,46,79,80,50,68,.,48,91,32.1,11.8,947,19.6,164,72,2,2,6,44,16,29,64525,62286,48682,38853,52,4.5,10.2,34.5,12.3,18,21.1,0,28,72,0,74,10,5,0,10,1,138415,1.459000,8660682,11005,53,24,23,1520952,23,8387946,8046105,10224,56,7,5,11,21,4508267,5728,44,14,27,1,5,1,4,5
Runge,128903,128 KARNES,03,AA,3,295,1,85,13,1,73.2,0,11,0,23,8,94.8,0,0,14,87.5,67,87,92,79,67,.,.,65,79,.,65,74,54.5,0,.,19.4,57,31,2,4,3,55,10,26,79019,61052,28198,39960,40,5.2,9.4,42.2,12.2,24.7,17.1,0,16,84,0,87,6,3,0,4,0,227982,1.370000,3259103,11085,44,36,20,845427,32,2804863,2708589,9213,59,9,8,9,15,1609160,5473,45,13,32,0,5,0,5,0
Falls City,128904,128 KARNES,03,EX,2,335,0,10,89,1,18.8,0,10,0,22,9,98.1,0,0,25,100,94,99,.,96,94,99,.,93,94,.,93,.,91.3,23.8,971,20.9,54,28,2,2,3,52,11,30,79000,53546,46611,42997,7,6.2,11.9,14.3,16.9,8,11.6,0,4,96,0,85,6,0,0,8,0,147290,1.553000,3082140,9454,63,32,5,758906,28,2942523,2537599,7784,56,11,5,10,19,1410254,4326,69,9,9,0,7,1,6,0
Crandall,129901,129 KAUFMAN,10,AA,5,2146,5,11,83,1,25.5,3,10,3,24,3,96.9,0,0.8,118,90.8,82,95,95,87,84,93,56,71,84,78,67,94,70.4,33.3,1013,20.3,250,132,2,4,8,53,12,22,82237,61071,50483,44026,6,8.6,16.3,36.8,11.5,19.6,23,2,2,96,1,79,11,2,1,4,3,186199,1.637000,16772784,8150,49,46,5,2850986,21,16306422,14048730,6826,54,6,7,12,20,7605441,3696,69,14,4,0,6,0,5,1
Forney,129902,129 KAUFMAN,10,AA,9,6138,11,16,71,2,18.9,4,9,3,14,3,96.6,0,2,236,93.6,77,93,94,82,79,91,65,69,80,88,65,85,73.6,27.5,1001,21.3,675,375,1,3,8,56,10,23,93884,65140,51757,42833,11,9.1,16.4,39.7,9.5,16.9,18.4,1,3,96,0,81,8,3,1,2,4,298460,1.615000,40999795,7826,25,72,3,3640811,10,69177239,33973509,6485,56,7,7,11,20,18987205,3624,72,18,3,1,2,1,3,0
Kaufman,129903,129 KAUFMAN,10,AA,7,3589,7,34,57,1,51.1,14,11,14,22,5,95.3,0,9.7,209,82.7,76,90,92,84,82,89,67,68,81,96,68,91,45.5,19.5,956,20.1,492,237,1,3,8,48,14,25,84936,69913,46037,43607,21,7.3,15.1,28.3,12.8,12.9,19,2,5,92,0,63,9,3,13,5,7,157037,1.590000,30087105,8502,53,36,11,4089248,17,29233978,25284998,7145,56,5,6,12,21,14105115,3986,61,14,17,1,3,0,3,0
