SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Seymour,012901,012 BAYLOR,09,3,567,3,21,73,1,1,0,1,55,1,10,1,27,3,96.7,1,0,36,100,85,86,82,85,85,85,79,82,86,74,.,.,.,80,63.9,39.1,.,22.8,83,49,2,4,6,59,10,19,97233,70030,47581,43458,5,6.8,11.5,15.2,15.7,12.3,9.6,0,4,96,0,78,5,4,0,12,0,259827,1.040000,6706521,11664,62,27,10,2966618,58,6091083,5944305,10338,55,7,5,11,21,3258350,5667,47,9,28,0,8,0,7,1,0
St Mary's Academy Charter,013801,013 BEE,02,1,396,1,79,17,0,3,0,0,76.3,1,10,1,0,5,96.3,.,.,0,.,73,78,76,72,50,.,100,69,84,.,95,.,.,67,.,.,.,.,65,27,2,4,8,41,23,22,66518,46653,38017,37499,52,6,14.8,33.7,13.1,35.4,8.3,4,30,63,4,89,10,0,0,0,0,0,0.000000,3614162,10012,83,4,13,245449,8,3476964,3419092,9471,53,14,6,14,13,1803804,4997,71,11,17,0,0,1,0,0,0
Beeville,013901,013 BEE,02,6,3459,2,82,15,0,0,0,0,73.1,3,9,2,24,8,94.5,0.2,6.6,251,85,64,69,57,60,64,64,72,61,75,.,88,.,.,59,43.8,13.3,989,18.4,499,230,1,3,8,46,12,31,91201,66610,50803,44067,61,6.9,15.1,33.4,13.5,20.2,12,2,39,59,1,87,10,0,0,1,1,174505,1.298000,34584489,9811,60,26,15,8881879,36,32232665,27511260,7805,56,7,5,11,21,15491048,4395,57,15,16,0,4,2,4,0,3
Pawnee,013902,013 BEE,02,1,154,0,75,25,0,0,0,0,65.6,1,8,0,0,2,96.5,0,.,0,.,78,78,78,79,80,82,.,77,82,.,.,.,.,78,.,.,.,.,25,13,4,4,4,52,16,20,80071,64505,35053,41809,40,6.2,11.8,30.8,11.4,30.8,0,0,15,85,0,92,0,8,0,0,0,1039501,1.291000,2741577,16923,32,57,12,1233592,58,2241361,1727736,10665,58,8,5,10,18,1001266,6181,57,12,30,0,0,0,1,0,0
Pettus,013903,013 BEE,02,2,425,1,59,38,0,0,0,1,67.3,1,13,1,33,8,95.9,0,6.3,29,93.8,78,83,75,81,78,61,50,74,86,.,.,.,78,74,50,14.3,934,19.4,72,37,3,2,4,51,12,29,69716,60006,40702,44328,41,5.9,11.6,19.1,14.7,5,8.2,0,22,78,0,87,8,0,0,5,0,325920,1.170000,4907283,11940,48,40,12,676467,18,4595563,4193571,10203,56,9,6,10,19,2361566,5746,57,13,19,0,5,0,5,1,0
Skidmore-Tynan,013905,013 BEE,02,3,807,1,65,33,1,0,0,1,61.2,2,10,2,32,6,96.5,0,0,42,100,86,87,78,87,91,85,100,82,94,.,.,.,100,82,57.5,21.7,964,19.7,113,60,3,4,11,53,1,29,81888,77959,36954,46308,52,7.1,13.5,30.1,11.9,14.8,17,3,30,63,3,94,5,0,0,1,0,146667,1.605000,8580382,10541,69,21,10,1283068,19,8961160,7892637,9696,56,7,5,11,21,4407085,5414,53,12,20,1,4,0,7,1,2
Richard Milburn Alter High,014801,014 BELL,12,1,160,48,22,24,3,0,1,3,63.8,0,24,0,56,0,88.8,.,26,66,61,58,75,.,47,47,80,72,63,39,.,.,.,.,60,10.3,16.7,768,.,18,12,0,5,11,64,5,14,.,78750,42837,36678,73,8.7,13.6,58.2,6.4,25,49.1,50,8,42,0,74,17,0,0,10,0,0,0.000000,1832196,12054,77,0,23,51150,4,1923396,1923306,12653,48,22,12,11,7,919609,6050,47,5,36,0,4,0,0,7,0
Transformative Charter Acad,014802,014 BELL,12,1,49,57,14,25,0,0,0,4,63.3,0,25,0,51,0,91.4,.,17,43,77.4,67,.,.,.,.,.,67,.,.,.,.,.,.,.,7.3,.,.,.,9,4,11,0,0,44,0,44,82567,.,.,41175,100,5.4,12.2,75,6,25,59.1,100,0,0,0,89,0,0,0,11,0,0,0.000000,641520,8554,95,1,5,476768,83,675222,653466,8713,37,44,3,8,8,241765,3224,81,18,1,0,0,0,0,0,0
Temple Education Center,014803,014 BELL,12,1,267,21,23,51,1,1,0,3,60.3,0,10,0,0,0,94.7,0,0,7,83.3,59,67,45,47,71,74,35,77,59,.,.,.,78,55,.,.,.,.,21,14,7,5,4,66,0,18,65833,57320,33776,39714,27,12.9,19.5,85.4,2.6,9.8,22.2,22,0,78,0,71,7,22,0,0,0,0,0.000000,1629310,9875,87,1,12,0,0,1283641,1246678,7556,47,15,8,15,15,581067,3522,53,15,31,0,0,0,1,0,0
Orenda Charter,014804,014 BELL,12,5,819,7,18,70,1,2,0,2,31.3,0,11,0,0,0,92,0,9.5,33,59.5,77,80,69,74,83,78,50,74,79,.,93,.,71,69,6.1,.,.,.,78,49,4,10,9,63,9,6,73657,46221,47026,45848,25,10.5,16.7,51.2,7.2,26.4,25.7,10,8,80,2,97,3,0,0,0,0,0,0.000000,5345363,13533,87,4,9,145142,2,4939607,4939091,12504,48,19,9,12,12,2373189,6008,47,34,15,0,0,0,3,2,0
