SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT11R,DA0708DR11R,DADC4X11R,DA0GR11N,DAGC4X11R,DA00A001512R,DA00AR01512R,DA00AW01512R,DA00AM01512R,DA00AC01512R,DA00AS01512R,DB00A001512R,DH00A001512R,DW00A001512R,DI00A001512R,D300A001512R,D400A001512R,D200A001512R,DE00A001512R,DA0CT11R,DA0CC11R,DA0CS11R,DA0CA11R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTO2FP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPAOTHP
Stepping Stones Charter El,101859,101 HARRIS,04,1,250,33,51,5,1,9,0,1,89.2,42,9,42,0,0,97.8,.,.,0,.,70,74,89,68,47,.,64,70,84,.,79,.,.,69,.,.,.,.,28,19,2,2,3,68,0,25,95000,95000,45500,44454,57,9,13.2,78.2,3.8,10.6,26.5,48,9,38,5,94,6,0,0,0,0,0,0.000000,2305073,9893,89,0,11,325388,17,2259470,2257633,9689,60,5,7,20,8,1346533,5779,73,8,17,3,0,0,0,0,0
Kipp Southeast Houston,101860,101 HARRIS,04,5,1431,81,17,1,1,0,0,1,83.2,6,5,6,0,0,97,0,.,0,.,71,73,66,71,69,77,69,78,73,64,.,100,100,70,.,.,.,.,134,82,0,8,13,62,3,15,.,75134,50001,45428,72,10.7,17.4,83.5,3.1,25.4,38.9,51,13,27,8,100,0,0,0,0,0,0,0.000000,13872572,13561,62,25,13,1514458,15,13731722,12572148,12289,41,11,15,14,19,5205260,5088,74,6,19,0,0,0,1,0,0
The Rhodes School,101861,101 HARRIS,04,1,595,71,25,2,1,1,0,1,86.4,0,4,0,0,8,96.5,.,.,0,.,63,73,63,54,46,.,62,67,.,.,.,.,.,57,.,.,.,.,49,29,1,7,4,59,1,29,135000,65149,39706,40684,89,12.3,20.9,93,0.8,14,28.6,81,0,11,9,100,0,0,0,0,0,0,0.000000,3678170,10361,59,3,38,208956,9,3074431,3026745,8526,54,12,13,10,10,1645163,4634,77,13,9,0,0,0,0,0,0
Harmony Sch of Sci-Houston,101862,101 HARRIS,04,2,1153,16,18,11,0,54,0,1,48.7,15,1,14,0,4,98.2,0,.,0,.,91,94,90,92,89,87,89,89,90,.,94,.,.,91,.,.,.,.,82,65,1,6,1,79,0,12,83000,58564,36500,37479,20,14.1,17.7,93.9,1.2,17.1,40.6,6,12,63,18,98,0,0,2,0,0,0,0.000000,5836965,9384,84,5,11,530584,7,5402151,5018418,8068,47,9,6,28,9,2366965,3805,81,2,14,2,0,1,0,0,0
Koinonia Community Learning,101863,101 HARRIS,04,1,208,87,10,2,1,0,0,1,96.2,3,7,3,0,0,94.6,.,.,0,.,21,33,28,.,.,.,22,.,.,.,.,.,.,19,.,.,.,.,18,12,0,6,0,68,0,27,.,60000,.,30805,97,11.9,17.5,83.4,5.9,0,68.2,100,0,0,0,100,0,0,0,0,0,0,0.000000,965465,22453,51,29,20,0,0,986453,986053,22931,39,23,1,36,1,387769,9018,100,0,0,0,0,0,0,0,0
Walipp-Tsu Preparatory Acad,101864,101 HARRIS,04,1,276,92,7,0,0,0,0,1,73.9,4,5,0,0,0,.,.,.,0,.,57,69,70,45,53,35,58,.,.,.,.,.,.,56,.,.,.,.,28,17,4,11,4,60,4,18,68500,68333,55000,43873,96,9.9,16.4,94.1,0.6,17.8,.,89,11,0,0,94,6,0,0,0,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Victory Prep,101865,101 HARRIS,04,3,590,74,25,1,0,0,0,0,64.9,0,7,0,26,0,83.9,0,.,44,.,35,39,23,22,54,59,35,32,.,.,.,.,.,37,0,.,.,.,77,38,4,5,12,49,3,28,38000,43480,28058,28965,99,7.6,15.6,70.9,4.1,7.9,.,92,5,3,0,87,6,0,0,6,0,0,0.000000,1773845,.,98,2,0,.,.,1780608,1780608,.,45,11,8,16,21,792388,.,88,10,0,0,0,0,1,1,0
Aldine,101902,101 HARRIS,04,75,64037,26,70,2,0,1,0,1,85.1,31,7,30,22,4,95.5,0.6,14.7,2988,80,72,72,60,74,76,77,66,74,79,77,92,71,82,71,58.7,9.8,881,17.7,7895,3782,1,3,10,48,11,27,84917,72340,59311,51214,69,8.1,16.9,42.7,10.2,26,10.9,35,24,36,5,66,6,4,17,4,3,200349,1.328000,603835204,9593,55,30,15,101719755,23,646745302,539945475,8578,62,5,5,8,20,332084678,5276,45,17,16,16,3,0,1,1,1
Alief,101903,101 HARRIS,04,46,45341,32,51,4,1,13,0,1,80.9,36,8,35,15,4,95.3,0.2,6,2557,91.7,75,77,61,75,78,79,73,72,85,79,90,88,81,73,66.1,12.2,893,18.2,5886,2968,1,3,9,50,8,29,97767,76098,62514,53315,64,7.7,15.3,36.3,10.3,25.6,9,34,23,36,8,69,9,3,18,1,0,235050,1.330000,458213423,10036,52,33,15,66547883,20,455793803,411780715,9019,62,3,6,10,19,255272602,5591,62,16,12,3,2,1,1,1,3
Channelview,101905,101 HARRIS,04,11,8714,13,74,11,0,1,0,1,78.8,26,8,24,21,3,96.5,0.1,5,491,92.6,75,76,65,79,72,75,73,75,77,56,88,71,71,73,44.7,9,898,17,1150,544,1,3,7,47,7,34,84461,77214,60855,52077,55,7.6,16,35.1,10.8,27,9.4,22,26,49,4,63,7,3,20,4,4,253888,1.466000,82010199,9517,48,39,14,22268208,35,126632016,72936117,8464,64,7,5,8,16,46716485,5421,61,18,11,2,3,0,2,1,2
Crosby,101906,101 HARRIS,04,8,5028,18,29,49,1,0,0,2,49.9,8,8,4,16,4,95.7,0.1,4.4,321,92.3,76,77,63,78,78,75,63,74,81,69,.,.,78,68,60.2,19.4,972,18.6,631,291,1,3,9,46,6,34,103122,69095,57714,50252,38,8,17.3,34,11.4,17.2,12.2,17,8,68,6,76,8,7,1,2,6,252372,1.440000,48776183,9570,51,41,8,6280918,18,55338728,40301492,7907,58,6,5,9,22,23481104,4607,58,17,7,2,2,5,4,4,1
Cypress-Fairbanks,101907,101 HARRIS,04,81,107660,16,43,30,0,8,0,3,48.6,15,7,14,26,5,96,0.1,3.1,6310,91.2,85,86,73,86,89,87,77,80,93,81,96,87,91,77,70.2,33.2,1025,21.5,12363,6243,1,4,8,50,0,37,92003,65185,58528,50329,35,8.7,17.2,36,10.7,24.8,11.1,10,12,74,3,70,10,3,1,4,12,319186,1.430000,954232382,9014,40,51,9,120363224,18,1032908641,772279163,7295,64,3,5,9,19,490987693,4638,65,15,7,8,2,1,1,0,1
Deer Park,101908,101 HARRIS,04,15,12786,2,47,47,1,2,0,2,44.9,10,10,11,16,6,95.5,0,3.7,864,90.4,83,84,71,85,89,83,70,79,87,93,94,85,89,76,48.1,26.4,1002,21.8,1694,809,1,3,8,48,10,31,132044,79726,64249,55405,27,7.5,15.8,27.7,13.7,30.6,7.9,1,13,82,4,80,7,1,4,3,5,552804,1.397000,208654689,16648,14,81,5,15521839,15,231226814,187575724,14967,35,6,3,44,12,64670307,5160,62,19,9,1,3,2,2,1,1
North Forest,101909,101 HARRIS,04,12,6916,65,34,1,1,0,0,0,100,16,9,15,19,3,93.8,0.6,32.6,261,57.6,52,56,49,52,52,46,49,59,65,63,83,.,76,52,65.2,1.4,738,15.5,977,421,1,3,9,43,9,35,92783,62018,55136,47959,93,7.1,16.4,49.3,11.1,37.2,21.3,80,7,4,8,67,11,7,10,5,1,219134,1.469000,84384688,11241,48,29,23,1431253,3,84416328,75078575,10001,50,15,4,16,15,37561080,5003,50,11,32,2,3,0,1,0,0
Galena Park,101910,101 HARRIS,04,24,21780,17,76,6,1,1,0,1,79.6,28,9,28,29,6,95.9,0.5,6.3,1414,90.4,78,77,63,82,83,76,77,77,81,83,92,77,84,76,50.1,10.6,893,18.1,2974,1492,1,2,9,50,3,34,96464,73196,59224,49901,63,7.3,14.6,34.5,10.5,29.1,7.6,25,29,40,6,65,9,1,16,5,4,262111,1.513000,225306780,10452,49,39,12,18590443,11,233526788,197656839,9169,57,7,5,12,18,113297963,5256,63,15,11,2,5,0,2,1,1
Goose Creek Cons,101911,101 HARRIS,04,27,21511,16,55,25,0,1,0,2,63.8,12,10,11,22,7,95.3,0.1,7.4,1265,87.4,76,77,62,77,82,79,68,74,84,77,92,85,83,71,49.8,17.4,937,19.1,2789,1356,1,2,9,49,8,31,92769,73633,59272,51045,44,7.7,15.9,36.7,11,25.3,13.5,12,18,69,2,85,9,1,3,2,0,390748,1.332000,239241202,11340,40,49,10,65990802,39,227274777,192981154,9147,58,6,5,12,19,111450842,5283,63,16,10,1,4,2,2,1,2
Houston,101912,101 HARRIS,04,277,201594,25,63,8,0,3,0,1,80.7,30,8,27,16,15,95.4,0.3,10.8,9954,81.2,73,73,64,73,77,73,66,71,90,74,95,94,84,69,75.2,20,915,19.6,22300,10920,0,2,11,49,6,31,114647,77886,60977,51866,74,9,18.5,32.4,12,31.1,17.2,36,27,30,6,75,9,2,4,3,9,527642,1.157000,2116876487,10413,27,60,12,257315672,17,2364684965,1842673226,9064,60,5,7,11,18,1099832540,5410,53,14,17,12,2,1,1,0,1
Humble,101913,101 HARRIS,04,42,35824,18,30,46,1,3,1,2,35.1,9,8,9,20,7,95.8,0,1.9,2452,94.4,85,85,73,86,89,87,75,80,91,78,95,78,86,74,75.5,33.5,1011,22.4,4526,2310,1,3,13,51,7,25,86094,74090,53868,46498,29,7.9,15.5,37,10.5,23.6,17.5,9,11,78,2,73,12,2,2,4,9,277943,1.520000,351885964,9863,42,52,6,67335790,26,367239240,288934909,8098,60,4,6,10,19,173316164,4858,60,22,4,1,3,5,3,2,1
Katy,101914,101 HARRIS,04,54,62153,10,34,42,0,11,0,2,31.3,14,8,13,16,7,96.5,0.1,2.5,4078,93.1,89,90,82,89,91,90,80,84,93,89,97,85,91,79,81,44.8,1071,23.7,7315,3860,1,2,8,53,9,28,114784,81245,62180,51145,30,8.5,16.1,29.1,12,23.5,14.3,5,12,80,3,74,7,1,5,3,10,329130,1.527000,601492797,9930,38,55,7,83922091,19,674903078,486188123,8026,62,4,6,10,18,299865427,4950,68,17,4,2,3,3,2,1,1
Klein,101915,101 HARRIS,04,42,45852,14,37,38,0,8,0,3,42,13,8,12,23,6,95.9,0.2,4.9,3065,89.2,84,85,73,84,88,84,73,78,90,84,94,90,88,74,75.2,35,1021,22.4,5579,2917,1,2,7,52,6,32,94830,73380,59928,51469,32,8.2,15.7,29,12.6,24.9,11.2,9,11,78,2,67,11,1,7,4,10,275526,1.430000,418735404,9286,46,47,8,46782498,16,491243779,353384394,7837,61,4,6,10,19,214308953,4753,69,16,5,1,4,0,2,2,1
La Porte,101916,101 HARRIS,04,14,7739,7,43,46,1,1,0,3,48.2,8,10,8,19,8,95.4,0,3.5,525,93,80,82,66,81,83,77,71,77,84,72,97,72,75,73,52.9,21.7,968,20.1,1003,467,1,3,9,47,11,30,112514,75788,57756,52082,31,7.7,16.6,27.1,12.6,27.1,13.2,8,11,77,4,72,11,5,3,3,6,788832,1.355000,85686568,11007,16,77,7,21746547,29,102972900,74431918,9561,56,8,5,14,18,41288804,5304,54,16,8,3,3,9,2,1,3
Pasadena,101917,101 HARRIS,04,61,52708,7,82,8,0,3,0,1,80,28,8,25,19,5,95.6,0.1,8,2874,86.2,74,75,62,76,79,75,69,73,83,76,92,74,83,72,45.5,15.6,924,18.9,7037,3376,1,3,9,48,10,30,91829,78747,60419,49746,52,7.5,15.6,43.8,9.9,19.8,10.9,8,30,59,4,69,10,0,13,3,5,183823,1.350000,507368414,9755,57,29,14,48174594,13,496948373,449269173,8638,59,5,7,11,18,266660537,5127,55,16,15,3,3,3,1,1,2
Spring,101919,101 HARRIS,04,39,36423,40,41,13,0,4,0,1,72.7,18,8,17,32,14,95.1,0.5,13,1891,82.3,66,69,58,64,70,71,60,67,77,.,86,.,75,62,66.7,11.9,888,17.8,4516,2084,1,2,11,46,6,34,101009,75462,56451,48577,56,8.1,17.5,41.9,9.2,21.3,20.9,27,18,53,2,80,8,1,1,6,5,195779,1.570000,344779044,9516,56,33,11,23626231,10,371042169,294617952,8132,60,5,6,10,20,176040036,4859,58,20,10,3,4,1,2,1,0
Spring Branch,101920,101 HARRIS,04,45,33599,5,58,28,1,6,0,1,58.7,33,8,33,17,6,96.1,0.3,5.1,1867,91.2,76,76,64,77,81,81,66,65,93,77,94,82,88,64,87,43.9,1041,23.6,4241,2166,1,3,9,51,7,29,116715,82522,63595,51570,45,7.9,15.5,27.6,12.9,25.7,11.9,5,26,64,5,80,9,0,4,3,4,582689,1.395000,365409686,11114,20,68,12,32055868,13,491840374,303334687,9226,60,6,6,10,18,181112292,5508,61,18,12,3,3,0,2,1,1
Tomball,101921,101 HARRIS,04,13,11076,5,26,60,1,5,0,2,26,11,7,10,27,9,96.2,0.1,1.5,700,94.8,88,90,78,89,89,87,79,83,90,90,97,86,89,77,70.7,37.3,1028,22.1,1434,670,1,3,8,47,8,33,111184,77638,61279,51420,20,7.7,16.5,27.2,12.1,22.5,10.7,2,10,87,1,76,6,1,5,4,8,495736,1.360000,111512774,10511,28,68,5,17659755,22,140593331,85488201,8058,57,6,6,12,20,48417313,4564,71,17,4,1,3,1,3,0,1
Sheldon,101924,101 HARRIS,04,12,7119,21,61,13,4,1,0,1,79,30,6,30,17,6,96.2,0.3,8.5,353,87.2,73,75,55,74,80,77,68,74,79,66,100,86,80,71,57.4,6.8,844,17.4,1038,456,1,3,11,44,8,33,98680,73740,59266,49507,54,6.9,15.6,53.5,7.7,23.4,15.5,29,23,45,3,69,6,0,18,4,4,569859,1.430000,88225536,12957,28,62,11,15298554,24,109279853,70106222,10296,58,7,5,12,18,40678381,5974,56,14,12,10,2,0,2,1,3
Huffman,101925,101 HARRIS,04,5,3278,2,15,80,1,1,0,1,36.6,4,8,4,27,7,96,0,3.4,202,95.6,78,80,68,77,84,78,69,68,80,.,81,.,97,69,75.8,25,978,21.8,416,194,1,3,7,47,8,34,94603,69573,53183,46970,11,7.9,16.9,37.6,10.8,13.4,8.2,1,3,94,2,73,8,5,0,6,8,247103,1.470000,30299263,9579,51,42,7,7356438,34,27945107,22852651,7225,57,6,6,11,20,12958569,4097,66,15,8,0,5,1,3,2,1
Karnack,102901,102 HARRISON,07,2,200,61,13,22,0,0,0,5,96,9,12,9,22,12,96.2,0,0,7,100,61,66,47,63,63,48,57,45,76,.,.,.,100,60,.,0,.,14.8,45,22,4,4,6,49,9,27,71223,67414,39504,37721,55,4.4,9,45,10.4,16.6,36.3,41,0,55,5,75,6,10,2,6,1,1149888,1.040000,2866610,13458,23,59,19,164965,6,2688441,2647961,12432,49,12,8,13,18,1295987,6084,38,14,32,0,8,2,5,1,0
Marshall,102902,102 HARRISON,07,11,5774,38,29,30,0,1,0,2,73.7,14,7,18,24,16,95.5,0,4.3,349,92.4,65,69,55,63,69,64,53,66,76,.,95,.,78,58,58,18.7,958,19.1,874,400,1,4,8,46,13,29,77582,59546,48977,43056,45,6.6,14.4,40.6,11.1,10.6,17.3,23,6,70,1,65,5,0,11,6,13,486359,1.040000,50456823,8656,26,58,16,9501364,24,49897943,48004539,8235,59,5,6,9,21,28381022,4869,52,15,20,3,3,1,3,3,0
Waskom,102903,102 HARRISON,07,3,818,18,24,55,0,0,0,4,59.9,11,12,11,30,5,96.1,0,5.6,49,88.9,70,73,68,65,68,84,55,66,78,.,.,.,61,62,69.2,11.1,.,19.2,129,72,1,2,2,56,19,20,86891,67452,48401,38676,20,6.3,11.3,40.1,12,11.6,14.6,8,0,92,0,73,14,1,2,10,0,569855,1.165000,8811522,11211,29,62,9,2530281,37,7938863,7226814,9194,61,5,5,12,17,4385520,5580,52,15,15,1,10,0,5,1,0
Hallsville,102904,102 HARRISON,07,7,4467,7,11,79,1,1,0,2,40,3,10,3,33,8,96.4,0,0.6,291,97.4,86,87,71,90,89,86,68,82,88,92,88,100,85,79,67.6,28.5,986,22,603,317,1,2,7,53,11,26,89665,68645,50746,42897,13,7.4,14.1,33.7,12.6,13.2,15.6,2,1,95,1,76,3,8,0,6,6,511580,1.423000,51847474,12010,30,59,11,3731662,10,86150309,37670613,8726,57,8,5,12,18,21536549,4989,61,20,8,1,5,0,3,1,0
Harleton,102905,102 HARRISON,07,3,730,3,4,90,0,0,0,3,42.7,1,10,1,24,7,96.1,0,2.5,41,95,82,88,83,76,84,76,86,73,82,.,.,.,70,73,77.8,21.4,1001,21.3,116,60,2,2,8,51,7,30,81205,70740,44730,41326,6,6.3,12.3,26.9,13.8,15.5,13,5,2,92,2,79,7,6,0,8,0,225920,1.250000,7701831,10550,61,30,9,1922162,31,9107934,6589532,9027,56,7,5,10,21,3700752,5070,63,11,13,0,6,0,5,2,0
Elysian Fields,102906,102 HARRISON,07,3,1039,14,4,80,0,0,0,2,44.4,1,12,1,27,5,95,0,6,62,92.5,81,86,75,79,84,77,69,72,84,.,.,.,67,77,77.4,19.5,1032,19.8,161,84,2,3,4,52,10,29,83058,66434,52759,40360,14,6.4,12.3,34.4,12.3,20.2,13.9,6,1,93,0,76,7,8,0,6,4,599088,1.215000,11619225,11140,26,68,6,3586384,40,11297336,9666681,9268,53,7,6,13,22,5112619,4902,64,12,10,0,7,0,5,3,0
Channing,103901,103 HARTLEY,16,1,157,0,15,85,1,0,0,0,45.2,2,6,2,34,4,96.1,0,7.7,12,92.3,70,78,57,60,75,83,.,.,73,.,.,.,.,61,72.7,12.5,.,20.4,27,16,3,3,0,61,11,22,76296,65269,89744,40894,0,5.8,9.6,48.7,10.4,8.7,12.1,0,0,100,0,81,6,3,0,11,0,1003296,1.040000,2069959,13529,19,76,5,419795,21,1975236,1788605,11690,55,12,6,11,16,980435,6408,69,6,14,1,7,0,2,1,0
Hartley,103902,103 HARTLEY,16,1,181,1,64,34,1,0,0,1,66.9,34,9,35,32,6,96.7,3.8,10,10,90,83,84,83,80,87,84,.,77,91,.,.,.,.,76,44.4,.,.,.,34,19,3,3,4,57,15,18,72000,30652,43007,40715,6,5.4,9.4,31.2,11.7,12.6,24.4,0,0,100,0,85,1,4,0,10,0,823283,1.079000,2349367,12768,31,62,7,543024,25,2652940,2343808,12738,55,10,6,17,12,1299015,7060,65,6,14,3,6,1,5,1,0
Haskell Cons,104901,104 HASKELL,14,3,669,4,39,53,1,0,0,3,70.9,2,12,2,30,3,95.5,0,3.8,56,96.2,76,79,63,79,76,76,53,63,86,.,.,.,80,68,77.1,27,.,21.1,114,62,0,2,4,54,15,25,.,69453,52080,40652,16,5.9,10.9,9.7,16.4,8.1,12.2,0,5,95,0,74,10,8,0,8,0,245839,1.170000,8695304,13316,63,26,10,1289783,19,8965049,7489436,11469,54,8,5,14,18,4072107,6236,44,15,28,0,6,1,4,3,0
Rule,104903,104 HASKELL,14,1,121,1,40,51,0,0,0,8,72.7,8,12,8,45,3,96.4,0,0,10,100,67,71,62,58,77,70,.,66,73,.,.,.,.,56,77.8,14.3,.,20.6,31,17,3,3,4,57,10,23,68000,63000,49041,38329,19,3.9,6.9,22.9,15.2,5.7,42.2,0,0,100,0,88,2,0,1,9,0,304327,1.170000,1675478,11968,64,26,11,899231,57,2085254,1712824,12234,58,12,6,8,16,999486,7139,52,14,19,1,11,1,4,1,0
Paint Creek,104907,104 HASKELL,14,1,159,1,27,68,1,0,0,4,67.3,1,8,1,43,5,96.3,0,0,8,100,78,82,53,82,83,76,.,73,82,.,.,.,.,78,71.4,20,.,20.4,26,15,2,4,3,59,8,24,104253,53500,49885,37498,15,6.2,10.4,52.2,10.2,15.2,25,0,13,87,0,80,5,3,0,12,0,219394,1.170000,1849261,10942,65,27,8,401371,27,1781735,1651858,9774,52,13,2,11,22,857048,5071,48,10,22,2,13,1,4,1,0
Katherine Anne Porter,105801,105 HAYS,13,1,146,1,15,82,0,0,0,2,50.7,0,8,0,62,0,93.6,.,6.7,26,80,86,83,62,79,96,96,.,78,87,.,.,.,.,88,79.2,26.3,1048,.,30,20,7,9,10,65,0,10,37000,36907,39458,31096,9,4.8,7.4,63.1,7.5,26.8,22.2,0,5,90,5,70,2,0,0,19,9,0,0.000000,1608857,11575,82,6,12,823328,68,1392160,1370865,9862,57,10,6,5,22,786013,5655,51,13,20,0,10,0,0,6,0
Texas Preparatory,105802,105 HAYS,13,1,146,15,61,21,1,0,0,1,69.9,0,8,0,0,0,97.4,.,.,0,.,82,78,100,78,91,.,91,79,85,.,.,.,.,76,.,.,.,.,23,8,2,7,4,35,0,52,80880,52293,35600,29953,61,6.3,18.2,100,1.5,0,52.4,0,25,75,0,100,0,0,0,0,0,0,0.000000,1354780,10186,87,5,9,77744,6,1272164,1272164,9565,54,16,3,15,12,689375,5183,95,5,0,0,0,0,0,0,0
San Marcos Cons,105902,105 HAYS,13,10,7461,5,72,21,0,1,0,1,70,8,10,8,23,9,95.2,0.1,8.7,457,84.6,74,76,60,76,75,73,69,70,86,88,97,71,84,67,77.1,13.8,923,18.4,1087,532,1,2,8,49,7,33,113437,70364,59508,47545,51,6.9,14,34.3,12.9,30.1,7.8,2,33,62,3,81,12,3,1,0,4,452303,1.350000,81622456,11064,29,58,13,14793053,27,78301599,65958689,8941,58,6,6,11,19,38255758,5186,54,19,15,1,4,1,2,1,3
Dripping Springs,105904,105 HAYS,13,5,4571,1,19,76,0,1,0,3,14.7,4,10,4,12,7,96.6,0.3,0.3,288,97.3,93,94,85,93,96,92,91,88,94,86,98,100,91,81,89.8,61.5,1142,25.5,567,278,2,2,8,49,8,31,96101,71904,59169,48496,16,8.1,16.4,26.7,12.2,22.4,10.8,1,6,92,1,84,9,2,2,2,1,568512,1.490000,50108739,11215,18,79,4,16810770,49,71080789,38091407,8525,54,7,5,14,21,20443503,4576,68,18,4,0,2,1,4,2,1
Wimberley,105905,105 HAYS,13,4,2015,1,19,77,1,1,0,2,30.2,7,9,7,27,6,96.2,0,3,155,95.2,89,89,82,90,91,89,60,80,91,85,100,100,89,81,.,46.2,1083,23.2,297,142,1,3,6,48,12,30,104272,73338,50621,49264,11,6.8,14.2,15.6,15.3,18.6,14.2,0,4,96,0,79,10,4,1,4,2,716940,1.233000,21077475,10528,19,76,5,1609747,8,20443971,17769680,8876,57,7,6,13,18,10105124,5048,65,19,4,1,3,1,6,0,0
Hays Cons,105906,105 HAYS,13,22,15868,3,61,33,0,1,0,2,49.3,15,9,14,17,9,95.8,0,4.8,871,87.5,75,78,61,74,80,80,69,70,85,85,93,54,84,66,67.8,21.3,952,20.3,2138,1006,2,3,8,47,6,34,78582,65945,52648,45469,41,7.4,15.8,38.9,10,26.7,12.5,2,24,73,1,66,10,6,8,3,7,242078,1.461000,156168514,10233,55,37,7,29001609,26,152274297,125492754,8223,57,6,5,11,21,71811566,4705,67,15,8,1,3,1,2,1,1
Canadian,106901,106 HEMPHILL,16,4,906,0,44,55,0,0,0,0,39.8,15,7,15,18,4,96.9,0,3.8,50,94.2,81,86,73,80,88,70,.,70,89,.,.,.,.,71,84.8,25.6,.,20.5,145,80,1,3,4,55,10,28,108000,74516,58149,48500,13,6.3,11.4,15.7,15,13.8,9.8,0,5,92,3,82,5,5,3,4,0,1685159,1.210000,17325783,20431,17,80,3,5440043,29,16362628,10475852,12354,58,6,5,12,19,6074871,7164,64,9,14,4,4,0,4,1,0
Athens,107901,107 HENDERSON,07,6,3398,13,43,40,0,1,0,3,71,21,8,23,24,5,95.6,0.4,3,188,89.6,72,73,64,73,76,69,52,69,81,58,88,100,73,66,43.8,20.8,958,20.3,446,221,1,3,10,50,12,24,92464,67643,45842,42545,25,7.6,15.4,40.9,11.5,18,22.6,6,9,83,2,72,7,8,2,4,7,342461,1.186000,32572372,9496,42,44,13,5158800,23,33698125,28190274,8219,57,8,6,11,19,16003626,4666,56,15,15,4,4,2,4,1,1
Brownsboro,107902,107 HENDERSON,07,7,2895,8,12,77,1,0,0,2,55.9,3,10,3,29,5,95.5,0,5.3,210,92.5,78,80,68,80,81,74,67,79,80,69,.,.,78,72,45.3,14,933,19.6,389,195,1,2,9,50,8,29,80241,65360,51014,44486,11,7.4,14.9,28.7,14.6,12.6,11.3,6,1,93,1,71,8,6,1,8,7,220964,1.390000,25199392,8756,57,31,11,4833213,25,24916014,21774129,7566,56,7,5,9,23,12119071,4211,56,16,10,0,7,3,4,2,2
Cross Roads,107904,107 HENDERSON,07,3,617,2,4,92,1,0,0,1,47.2,1,11,1,30,4,96,0,0,63,100,77,80,74,79,79,64,86,73,77,.,.,.,.,69,50,12,946,19.5,80,44,2,4,6,55,11,22,70329,63985,32669,40976,5,7.7,14,29.6,12.8,13.3,17.5,0,0,95,5,81,3,6,1,9,1,468654,1.085000,6224791,10221,32,62,6,1510069,29,5796721,4899415,8045,57,6,7,12,18,2796549,4592,65,9,10,0,9,0,5,2,0
Eustace,107905,107 HENDERSON,07,4,1425,1,10,86,1,0,0,2,69.5,1,13,1,20,4,96.6,0,2.8,100,95.3,79,83,71,79,81,79,75,76,80,.,.,.,79,76,53.5,23.9,957,.,218,106,2,4,9,49,10,27,91489,65342,50456,44389,4,6.5,13.4,27.3,13.1,14.4,9.7,0,1,99,0,83,7,5,0,4,1,354418,1.276000,15866560,10735,37,49,14,2025940,19,15325629,14228372,9627,59,7,4,9,20,8439730,5710,53,27,12,0,3,1,3,1,1
Malakoff,107906,107 HENDERSON,07,6,1293,13,15,69,1,1,0,2,69.1,4,13,4,23,5,95.5,0,0,79,97.6,81,85,73,82,79,76,75,79,82,100,100,.,75,77,45.8,24.2,978,19.5,219,104,1,3,3,47,16,30,89126,66095,56693,46383,23,5.9,12.4,22.6,14.2,8.7,11.6,13,1,85,1,72,12,6,1,6,2,780481,1.160000,15856310,12545,23,68,10,3235698,24,19371389,12812257,10136,61,6,5,11,18,7775332,6151,59,18,11,1,5,1,4,1,2
Trinidad,107907,107 HENDERSON,07,1,149,20,9,66,0,0,0,5,73.2,2,15,2,31,8,94.3,2.7,11.8,15,88.2,61,66,50,59,62,58,55,41,66,.,.,.,57,56,71.4,0,.,16,35,17,3,6,0,49,0,43,35525,67000,.,38117,20,4.3,8.8,52.9,8.6,0,11.1,6,0,94,0,86,10,0,0,4,0,319699,1.424000,2298025,13057,62,29,9,199284,12,2415501,2245687,12760,48,14,8,14,16,1083464,6156,53,15,16,0,8,0,6,1,1
Murchison,107908,107 HENDERSON,07,1,149,1,19,81,0,0,0,0,68.5,9,9,12,0,7,96.2,0,.,0,.,74,83,89,72,56,.,.,60,78,.,.,.,.,73,.,.,.,.,25,13,0,4,6,52,0,38,.,50000,34017,39750,18,6,11.6,38.8,13.9,15.5,15,8,0,92,0,92,8,0,0,0,0,270591,1.040000,1633002,11833,59,28,13,430195,32,1598593,1463163,10603,56,16,3,12,13,824364,5974,69,12,19,0,0,0,1,0,0
