SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Charlotte,007901,007 ATASCOSA,20,AA,5,548,0,87,13,0,80.1,5,8,5,30,3,95.1,0,16.7,28,77.8,56,76,92,72,72,86,.,54,70,.,54,81,54.2,7.7,.,18.3,86,41,3,2,2,48,17,28,72467,63011,49125,47168,56,6.4,13.3,19.5,13.6,24.8,17.6,0,34,66,0,82,5,4,3,6,0,177554,1.270000,5770350,11226,69,23,8,678047,14,5829997,5215566,10147,58,10,6,11,15,3037339,5909,54,9,24,2,8,0,4,0
Jourdanton,007902,007 ATASCOSA,20,RE,6,1269,1,60,39,1,61.4,2,9,1,26,7,96.4,0,7.7,72,82.4,76,91,98,83,83,90,71,70,85,57,68,90,53.3,31.3,999,21.6,201,103,1,4,2,51,13,28,82180,72505,57338,47000,43,6.3,12.3,23.1,13.5,22.4,9,0,21,79,0,79,10,1,0,7,3,340083,1.170000,12668370,10078,47,46,8,2790677,25,11690967,11531366,9174,58,5,7,11,19,6711309,5339,63,13,11,0,6,1,6,1
Lytle,007904,007 ATASCOSA,20,RE,6,1711,1,78,21,1,72.1,8,7,7,29,5,95.7,0,12.5,94,84.6,66,86,92,75,79,96,70,62,78,89,59,89,77.4,7.7,852,17.3,265,125,2,5,7,47,9,31,73983,44334,49918,43569,51,6.4,13.7,45.6,9.3,23.2,16.3,1,31,68,0,72,10,9,0,6,2,124673,1.240000,16391338,9699,67,18,15,1166220,9,16119206,14441797,8545,52,6,5,12,25,7456853,4412,55,11,22,1,5,0,5,1
Pleasanton,007905,007 ATASCOSA,20,RE,9,3405,0,69,30,0,64.5,2,9,2,25,6,95.4,0,11.1,187,79.7,76,90,94,84,80,90,60,70,88,88,69,80,49.7,24.4,1007,20.4,585,261,2,3,9,45,14,27,83299,68428,52723,43177,38,5.8,13,40.9,10.5,12.6,13.9,0,21,77,1,74,12,6,1,4,4,191879,1.150000,32976366,9553,54,30,17,4413878,18,43061647,31971192,9262,54,7,6,11,22,17097088,4953,57,23,11,1,4,1,3,2
Poteet,007906,007 ATASCOSA,20,RE,5,1772,1,84,15,0,79,5,8,4,27,6,94.9,0,9,99,82,63,86,85,76,69,88,57,59,83,.,59,84,35.2,9.4,914,18.8,255,124,2,3,4,48,12,31,83035,61670,49461,42563,58,6.9,14.3,37.8,12,20.2,12.2,1,40,59,1,82,6,6,0,5,1,101377,1.150000,15674593,9134,75,15,10,3660660,29,14776274,13801257,8043,55,8,7,9,21,7599429,4429,62,10,18,1,4,1,2,1
Bellville,008901,008 AUSTIN,06,RE,5,2160,13,24,62,1,41.4,10,12,10,30,12,96,0.3,0.6,172,97.7,83,94,97,90,88,95,69,75,89,83,74,96,63.9,41.4,1042,22.7,352,168,2,3,8,48,12,27,81793,69223,52526,43889,17,6.1,12.9,22.4,14.6,15.1,16,2,2,96,0,80,9,0,3,6,3,424796,1.260000,21862827,10140,33,61,6,3779077,21,23557334,18463394,8564,55,7,6,12,20,10125628,4696,59,21,6,2,5,1,4,1
Sealy,008902,008 AUSTIN,06,AA,4,2609,12,43,44,0,53.1,11,10,11,22,6,96,0,6.1,160,86.2,76,89,91,83,86,97,52,73,85,.,66,93,55.2,20.3,987,20.6,364,198,2,3,8,55,13,20,81933,64045,54116,47838,19,7.2,13.1,31.1,12.9,10.8,15,4,8,88,0,74,12,0,4,4,5,419595,1.233000,26518781,10091,40,51,8,4982637,24,26414374,23127169,8800,56,7,6,12,20,12850364,4890,62,16,10,1,6,1,4,2
Brazos,008903,008 AUSTIN,06,RE,3,822,12,42,46,0,52.4,10,7,9,29,3,96.2,0,1.4,71,97.2,82,94,94,86,91,99,71,80,87,.,74,97,63.9,7.7,889,17.2,125,66,2,2,8,53,9,25,68302,77730,49961,46735,23,6.6,12.4,19.6,13.6,20.1,21.9,3,5,92,0,80,7,0,1,6,5,399466,1.369000,8657136,10701,32,60,8,962002,13,13465181,8063272,9967,54,5,6,15,20,4384881,5420,64,14,10,2,3,1,6,0
Muleshoe,009901,009 BAILEY,17,RE,5,1437,0,79,21,0,83.2,15,11,14,19,4,95.8,0,8.4,69,83.1,74,89,93,85,77,91,.,70,90,.,70,92,50.8,20,.,19.8,237,124,2,3,7,52,16,19,83487,65531,49472,41277,27,6.1,11.6,32.4,12.1,17.7,14.4,0,14,86,0,75,9,7,6,3,1,171756,1.380000,16444799,11248,58,28,14,1671560,14,26112740,13349639,9131,59,6,5,9,20,7893129,5399,51,12,23,2,4,0,5,2
Medina,010901,010 BANDERA,20,EX,2,317,2,22,75,1,52.4,3,17,3,36,9,97,0,0,20,100,84,94,.,90,91,.,.,71,88,.,81,87,85,11.8,905,18,75,38,3,3,7,51,13,24,81568,71086,49293,40852,5,4.2,8.3,24,13.7,21,15.4,0,5,95,0,62,10,9,1,7,12,572661,1.000000,4597812,13174,52,41,7,769594,19,4474779,4365415,12508,55,10,6,10,18,2399974,6877,55,21,13,1,7,0,4,0
