SNAPDIST,DISTRICT,DZCNTYNM,REGION,DZRATING,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETOTHP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT09R,DA0708DR09R,DADC409R,DA0GR09N,DAGC409R,DA311TA10R,DA311TR10R,DA311TW10R,DA311TM10R,DA311TC10R,DA311TS10R,DB311TA10R,DH311TA10R,DW311TA10R,DO311TA10R,DE311TA10R,DACTA10R,DA0CT09R,DA0CC09R,DA0CS09R,DA0CA09R,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTOEFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFFENDT,DPFFENDP,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAOTHP
Univ of Houston Charter,101807,101 HARRIS,04,EX,1,133,33,36,23,8,14.3,3,5,3,0,0,95.7,.,.,0,.,75,90,.,85,81,.,67,79,83,80,85,.,.,.,.,.,16,6,12,0,14,38,36,0,80276,.,33112,51306,36,8.2,21.8,47.4,12,36.8,30.2,16,0,68,16,95,5,0,0,0,0,0,0.000000,1220270,9459,73,23,4,.,.,1206238,1108999,8597,72,10,12,0,6,803375,6228,89,8,4,0,0,0,0,0
Bay Area Charter,101809,101 HARRIS,04,AA,3,366,7,18,70,5,35,7,16,7,4,2,92,0,21.1,26,57.9,66,89,94,74,82,97,62,70,65,.,57,58,20.8,0,880,.,43,28,1,6,2,66,13,12,85600,61426,75858,45053,28,8.6,13,51.4,6.7,41.9,32.4,1,5,87,8,84,6,0,7,3,0,0,0.000000,2835945,8646,80,10,11,922965,40,2643635,2605531,7944,64,3,13,12,8,1660729,5063,74,10,16,0,0,0,0,0
Acad-Accelerated Learning,101810,101 HARRIS,04,AA,1,574,40,58,1,0,98.4,45,2,46,0,0,95.6,.,.,0,.,46,79,81,59,71,.,39,49,.,.,46,.,.,.,.,.,54,30,2,0,9,55,0,34,62331,.,37643,38187,98,10.6,19.2,35.5,9.2,19.4,25.6,52,39,0,10,58,3,0,38,0,0,0,0.000000,4413838,8571,85,3,12,-289918,-9,4236481,4236481,8226,56,11,2,21,11,2372789,4607,81,2,17,0,0,0,0,0
Excel Academy,101811,101 HARRIS,04,EN,5,529,40,51,9,1,100,11,18,10,0,0,.,.,87.5,0,0,.,.,.,.,.,.,.,.,.,.,.,41,.,.,.,.,110,62,4,7,5,57,0,27,58493,60112,49349,40647,79,4.8,8.5,30.4,10.6,33.6,28,65,3,27,5,72,19,0,2,6,0,0,0.000000,7667175,12736,80,1,19,.,.,7016897,7016897,11656,64,11,15,0,10,4487039,7454,37,25,27,9,3,0,0,0
Houston Can Academy Charter,101812,101 HARRIS,04,EU,2,809,53,44,2,1,92.1,7,18,7,20,0,87.1,.,53.7,156,20,23,73,.,22,34,75,16,30,17,.,23,43,15,0,751,12,75,37,3,9,14,50,7,18,81060,65359,50899,42379,82,10.8,21.9,83.8,2.9,13.5,67.4,60,14,22,5,85,14,0,0,2,0,0,0.000000,7121602,10002,90,0,10,0,0,7105249,7048958,9900,36,15,12,24,13,2539773,3567,50,15,30,2,3,0,0,0
Kipp Charter,101813,101 HARRIS,04,RE,12,3864,25,73,1,1,93.2,36,4,36,9,0,97.7,0,.,73,.,79,89,97,86,83,99,69,82,90,97,79,98,87.3,8.1,958,.,428,232,3,4,5,54,9,25,111055,80304,73538,50708,62,9,16.6,75.4,4,23.6,28.8,22,26,45,6,87,2,0,8,3,0,0,0.000000,39505569,13488,59,29,13,6847105,18,39227350,36997944,12632,43,21,11,10,16,15757264,5380,70,3,23,3,0,0,1,0
The Varnett Public Sch,101814,101 HARRIS,04,EX,3,1552,58,42,0,0,97.4,28,2,28,0,1,98.5,.,.,0,.,88,93,92,95,91,.,91,83,.,.,88,.,.,.,.,.,123,71,2,5,15,58,15,5,104966,80041,46123,38097,93,12.6,21.9,29.6,10.8,2.8,33.2,68,0,10,23,93,4,0,4,0,0,0,0.000000,12842875,8772,84,1,14,6462565,57,10451714,10437320,7129,38,16,5,25,16,4002259,2734,71,4,23,2,0,0,0,0
Alief Montessori Community,101815,101 HARRIS,04,EX,1,238,21,43,2,34,100,54,5,54,0,0,96.4,.,.,0,.,94,95,90,98,.,.,95,89,.,.,94,.,.,.,.,.,25,10,0,16,0,39,45,0,.,55125,.,38546,80,9.4,23.9,60,4.1,0,33.3,10,0,50,40,46,0,0,54,0,0,0,0.000000,1817893,8116,83,10,8,997071,78,1110539,1086894,4852,65,10,4,10,11,702420,3136,81,2,12,5,0,0,0,0
Amigos Por Vida,101819,101 HARRIS,04,RE,1,482,0,99,0,0,99.6,89,6,94,0,0,97.4,0,.,0,.,70,82,86,85,81,96,.,69,.,.,70,.,.,.,.,.,54,25,3,5,9,46,20,17,71791,58244,41907,47294,89,8.9,19.3,68,4.9,12,13.3,0,76,20,4,18,4,0,78,0,0,0,0.000000,4722686,10027,79,1,19,2051852,58,3865603,3796926,8061,67,9,5,8,12,2538008,5389,61,4,26,8,0,0,0,0
Benji's Special Educ Acad,101820,101 HARRIS,04,AU,1,496,94,5,0,0,58.7,0,20,0,19,0,97.3,1.8,67.4,7,16.3,37,75,86,54,37,66,37,43,.,.,36,24,20,.,.,.,78,34,1,0,4,44,0,51,120000,.,74362,37213,97,6.4,14.6,73.5,4.9,14.7,38.8,94,3,3,0,82,18,0,0,0,0,0,0.000000,4614514,8874,83,5,13,1104737,24,4603098,4575048,8798,47,12,8,21,12,2152755,4140,69,17,13,0,1,0,0,0
Houston Heights,101821,101 HARRIS,04,EA,1,201,27,64,8,1,79.1,0,15,0,44,4,94.7,.,5.1,49,64.4,60,89,.,64,73,85,49,61,91,.,63,85,45.5,10,.,16,27,19,5,2,7,68,17,0,74959,105378,24500,41918,60,7.3,10.8,67.8,5.1,21.4,24,21,36,43,0,73,21,0,0,6,0,0,0.000000,2140156,9954,88,2,10,199571,11,2107816,2107816,9804,55,14,3,20,8,1160217,5396,66,12,21,0,0,0,1,0
Jamie's House Charter,101822,101 HARRIS,04,EU,1,96,84,6,9,0,93.8,0,42,0,1,0,91.5,4.1,62.5,7,15.6,28,52,.,48,63,.,23,.,.,.,25,91,0,.,.,.,19,7,11,5,0,38,0,46,50000,35000,.,29135,95,5.1,13.3,61.1,5.1,0,50.1,100,0,0,0,81,19,0,0,0,0,0,0.000000,1862679,23578,70,1,29,167282,11,1924044,1924044,24355,58,17,3,17,5,1106861,14011,53,32,14,0,2,0,0,0
Children First Acad-Houston,101823,101 HARRIS,04,EX,1,432,96,4,1,0,99.8,0,9,0,0,0,96.3,0,.,0,.,96,98,.,98,.,.,96,.,.,.,96,.,.,.,.,.,47,21,9,4,2,45,19,20,76639,55488,34000,39152,100,9.3,20.6,85.7,2.9,0,26.3,100,0,0,0,78,0,22,0,0,0,0,0.000000,3731228,8007,87,0,13,4779447,155,3325490,3325490,7136,45,26,2,11,16,1481806,3180,70,8,22,0,0,0,0,0
Houston Gateway Academy,101828,101 HARRIS,04,EX,2,864,1,98,1,0,90.7,38,5,38,11,0,96.6,2,.,0,.,84,90,95,93,89,97,67,85,.,.,84,.,.,.,.,.,77,48,1,1,3,62,7,26,125000,91000,28834,33873,94,11.2,18.1,72.7,4.2,0,25,27,59,10,4,72,4,0,21,2,0,0,0.000000,7627026,9618,76,2,22,3696103,93,6005895,5866203,7397,56,16,3,11,14,3279418,4135,47,8,34,11,0,0,0,0
Houston Heights Learning,101829,101 HARRIS,04,EX,1,124,44,54,2,1,96.8,19,2,19,0,0,95.9,.,.,0,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,11,9,5,9,5,82,0,0,70000,26000,70000,37778,73,11.3,13.8,77.8,4.2,0,28.6,67,0,33,0,100,0,0,0,0,0,0,0.000000,1025774,8014,85,1,14,-27026,-3,982219,977722,7638,62,12,7,9,10,604819,4725,65,6,28,2,0,0,0,0
La Amistad Love & Learning,101833,101 HARRIS,04,EX,3,347,71,26,0,3,98.6,59,2,56,0,0,96.5,.,.,0,.,95,95,.,.,.,.,.,89,.,.,95,.,.,.,.,.,31,19,0,3,0,61,6,29,.,48000,.,44411,97,11.2,18.3,57.9,5.9,10.5,46.7,26,47,5,21,37,0,21,42,0,0,0,0.000000,2665938,10333,83,2,15,-213591,-9,2123186,2123186,8229,63,17,0,10,10,1335746,5177,55,3,38,4,0,0,0,0
N. Houston HS for Business,101834,101 HARRIS,04,NR,1,24,58,38,4,0,83.3,0,4,0,0,0,82.3,.,.,5,.,.,.,.,.,.,.,.,.,.,.,.,17,0,.,.,.,7,3,14,14,0,43,0,29,96400,55000,.,40879,100,3.4,8,100,1.7,0,85.7,67,33,0,0,100,0,0,0,0,0,0,0.000000,712439,6985,80,0,20,390202,32,713135,676099,6628,57,21,5,9,9,381731,3742,84,0,16,0,0,0,0,0
Calvin Nelms Charter,101837,101 HARRIS,04,EA,3,297,10,34,54,2,30.6,0,9,0,33,0,92.7,1.6,32.6,53,38.2,61,84,94,70,75,92,35,56,71,.,53,89,21.6,9.1,995,.,24,17,10,4,2,70,6,7,94783,47672,58328,46030,21,12.3,17.5,56.8,7.6,15.9,29.6,0,17,77,6,93,0,0,0,7,0,0,0.000000,2292930,8189,93,3,4,1841009,112,2169601,2046627,7309,66,11,4,10,9,1350914,4825,69,16,5,0,9,0,2,0
Southwest,101838,101 HARRIS,04,AU,6,3594,15,41,38,6,54,17,8,16,4,0,95.5,19.5,38.1,72,43.2,58,85,84,64,71,85,47,53,62,77,51,75,24.6,18.8,841,.,147,114,2,3,7,77,3,7,56806,60777,47405,36580,49,24.5,31.6,79.1,2.6,20,26.2,17,14,58,11,92,6,0,0,1,1,0,0.000000,19070295,8320,91,2,7,2158632,11,18431989,18412212,8033,78,5,4,6,7,14276551,6229,84,10,5,1,1,0,0,0
Two Dimensions Prep Acad,101840,101 HARRIS,04,AA,3,428,90,9,1,1,95.1,4,4,4,0,7,97,.,.,0,.,87,97,.,91,74,.,86,.,.,.,85,.,.,.,.,.,51,17,4,2,0,33,22,39,85000,54000,.,36363,94,8.4,25.2,64.7,6.1,17.6,46.7,82,0,12,6,76,6,18,0,0,0,0,0.000000,3827134,8160,87,2,12,-485702,-16,3264373,3264317,6960,56,15,5,11,13,1841047,3925,68,6,26,0,0,0,0,0
Comquest Academy,101842,101 HARRIS,04,EA,1,75,21,43,36,0,74.7,0,0,0,100,0,93.6,.,0,24,65.2,55,82,.,66,64,83,20,55,67,.,53,91,9.1,.,.,.,12,7,8,0,35,57,0,0,130000,.,40269,32423,56,6,10.5,7,13.7,36.7,2.1,37,14,21,28,63,0,0,0,37,0,0,0.000000,776306,9467,93,2,5,35109,3,853934,842782,10278,33,15,3,29,20,279364,3407,3,24,11,0,62,0,0,0
Yes Preparatory Public Sch,101845,101 HARRIS,04,EX,7,3374,11,86,1,2,78,18,5,17,0,0,97.6,0.3,1.3,78,89.9,92,96,99,96,97,.,88,93,97,.,92,98,.,12.4,933,19.8,330,222,3,8,16,67,3,2,85807,59792,52357,47477,43,10.2,15.2,81.3,3.6,9.4,30,11,19,64,7,97,3,0,0,0,0,0,0.000000,36808771,13953,59,34,7,33659123,103,27305689,27190939,10307,55,15,5,10,15,14863321,5634,79,6,14,0,0,0,1,0
Harmony Science Academy,101846,101 HARRIS,04,EX,3,1804,20,48,15,16,64.5,10,3,10,3,9,97.4,0,0,51,98,87,95,98,92,91,.,83,85,90,96,84,97,77.6,13.2,909,.,143,115,1,8,3,80,1,7,88000,68359,24220,38970,26,12.6,15.8,93,1.9,20.2,36.1,7,9,77,7,96,2,0,1,1,0,0,0.000000,12851825,8260,84,8,8,1333824,12,12105407,11793546,7579,50,14,9,19,8,5932168,3812,77,5,16,2,1,0,0,0
B Mayes Institute Charter,101847,101 HARRIS,04,EX,1,415,99,1,0,0,74.5,0,6,0,0,0,97,0,.,0,.,88,95,99,92,.,.,88,.,.,.,87,.,.,.,.,.,40,26,2,7,7,64,2,17,99107,71981,44030,43071,98,10.3,16,55.6,6.9,11.1,26.7,93,4,4,0,100,0,0,0,0,0,0,0.000000,3418521,8218,87,1,12,2378119,79,3028634,3028624,7280,53,9,7,20,11,1606632,3862,71,4,25,0,0,0,0,0
Northwest Preparatory,101848,101 HARRIS,04,RE,2,283,87,7,5,1,95.8,9,17,0,0,0,96.5,0,.,0,.,76,87,84,83,98,96,81,40,33,.,78,.,.,.,.,.,52,29,3,3,4,56,12,23,74333,56867,56900,38341,98,5.4,9.8,44.8,8.6,31,32.1,93,0,3,3,62,34,3,0,0,0,0,0.000000,4308413,13216,83,0,17,-185613,-7,3975815,3945295,12102,55,8,9,12,16,2169766,6656,45,29,26,0,0,0,0,0
Accelerated Intermed Acad,101849,101 HARRIS,04,RE,2,454,59,40,1,0,82.2,27,11,27,0,0,96,0,.,0,.,82,85,92,91,93,.,75,91,.,.,82,.,.,.,.,.,33,26,3,9,6,79,0,3,203968,68705,40913,39896,88,13.8,17.5,65.4,5.7,11.5,56.3,69,8,12,12,81,19,0,0,0,0,0,0.000000,5099725,10386,82,1,17,3531492,77,2656668,2656668,5411,53,17,3,8,20,1395899,2843,22,21,56,1,0,0,0,0
Zoe Learning Academy,101850,101 HARRIS,04,AA,2,553,95,3,3,0,91.5,0,6,0,0,0,92.5,.,.,0,.,55,78,88,67,65,.,55,.,.,.,55,.,.,.,.,.,65,29,2,9,3,44,28,14,105000,49083,40500,36119,98,8.5,19.2,61.9,5.3,24.3,52.7,97,0,3,0,97,3,0,0,0,0,0,0.000000,4521493,8831,83,0,17,57049,2,4022846,4022846,7857,39,19,4,21,16,1579981,3086,55,13,32,0,0,0,0,0
Houston Alter Prep Charter,101851,101 HARRIS,04,AA,1,170,80,17,4,0,79.4,17,14,17,5,0,91.9,4.7,42.9,4,57.1,70,86,75,91,31,88,68,76,.,.,75,.,.,.,.,.,30,12,7,13,7,40,17,16,76320,38765,38468,33125,97,5.7,14.2,50,10.5,50,50,92,0,8,0,83,8,0,8,0,0,0,0.000000,2092829,9872,76,0,24,-349462,-21,1955732,1898127,8953,42,22,5,16,15,790879,3731,28,24,45,0,4,0,0,0
Juan B Galaviz Charter,101852,101 HARRIS,04,EU,1,74,4,96,0,0,37.8,1,1,3,46,0,90.9,.,57.1,3,9.5,27,53,80,41,40,87,.,29,.,.,26,53,.,.,.,.,13,9,4,5,7,71,0,13,56250,30000,68600,36040,72,5.7,8.1,86.9,3.4,37.6,45.9,0,17,39,44,97,0,0,3,0,0,0,0.000000,579008,9047,85,3,12,-34859,-6,576880,576880,9014,52,17,3,14,14,300394,4694,49,0,38,1,12,0,0,0
Ripley House Charter,101853,101 HARRIS,04,EX,4,1530,26,70,1,3,98.1,53,5,53,0,0,96.7,.,.,0,.,88,94,98,92,.,.,61,92,.,.,90,.,.,.,.,.,115,66,3,3,12,57,18,7,91243,75781,57203,42659,67,13.2,23.2,92.4,1.6,9.1,27.1,17,30,44,9,56,2,0,42,0,0,0,0.000000,8125152,5604,89,1,10,2285258,32,7079275,7075265,4879,66,22,7,3,3,4661825,3215,70,5,21,4,0,0,0,0
R Milburn (Suburb Houston),101854,101 HARRIS,04,EU,1,274,42,53,4,1,78.1,0,4,0,60,0,84.6,.,55.2,44,14.1,26,55,.,35,42,71,11,34,60,.,25,55,0,.,.,.,23,14,0,9,4,60,9,19,.,64183,46897,41047,76,11.8,19.7,71.3,6.5,35.9,56,29,43,22,7,83,0,0,0,17,0,0,0.000000,2069772,8553,91,0,9,500880,29,1974832,1968599,8135,36,22,13,18,9,716578,2961,63,2,30,0,4,0,2,0
Meyerpark Elementary,101855,101 HARRIS,04,AA,1,174,90,10,0,0,83.3,0,5,0,0,0,95.4,.,.,0,.,45,73,62,56,56,.,46,38,.,.,48,.,.,.,.,.,22,10,3,3,12,46,13,23,77056,77056,58025,36437,100,7.9,17.4,70,5.2,10,10.6,100,0,0,0,100,0,0,0,0,0,0,0.000000,1385386,8768,87,1,12,-26375,-2,1198310,1175104,7437,48,19,8,9,15,567781,3594,68,7,25,0,0,0,0,0
Draw Academy,101856,101 HARRIS,04,RE,1,280,4,96,0,0,99.6,74,5,74,0,3,97.9,0,.,0,.,66,76,88,89,77,93,.,68,.,.,66,.,.,.,.,.,36,16,1,1,0,44,39,14,85000,85000,.,50770,94,7.8,17.5,62.5,4.8,12.5,0,13,62,6,19,67,6,13,15,0,0,0,0.000000,2825038,10701,86,1,14,443112,22,2755947,2753523,10430,63,4,7,20,6,1744066,6606,61,7,19,12,0,0,0,0
Harmony Sch of Innovation,101857,101 HARRIS,04,RE,2,1005,28,39,13,20,69.9,14,2,14,0,10,96.9,0,.,0,.,79,93,93,86,83,.,77,76,84,86,77,.,.,.,.,.,118,54,5,5,34,46,6,4,95667,65583,56183,38471,20,8.5,18.6,98.1,1.5,12.6,40.5,4,13,76,7,98,0,0,2,0,0,0,0.000000,10827878,21273,36,61,4,1428497,12,10702570,10109997,19862,21,63,3,9,4,2102095,4130,72,5,21,1,0,1,0,0
Harmony Sch of Excellence,101858,101 HARRIS,04,EX,2,1125,15,32,22,31,38.7,4,2,4,1,11,97.4,0,.,0,.,94,98,97,97,97,99,91,91,94,98,91,.,.,.,.,.,81,69,0,6,2,86,0,6,.,64914,22552,37901,21,13.9,16.2,91.3,1.9,15.9,28.2,1,6,81,12,98,1,0,1,0,0,0,0.000000,5244301,8697,92,6,3,827897,12,4803115,4687490,7774,50,12,6,27,6,2319720,3847,81,5,7,3,3,1,0,0
Stepping Stones Charter El,101859,101 HARRIS,04,RE,1,203,37,44,4,15,90.1,35,8,31,0,0,97.8,.,.,0,.,73,80,97,87,77,.,69,70,.,82,70,.,.,.,.,.,24,14,2,2,11,59,0,25,88000,88000,43953,45000,68,8.6,14.5,85.7,3.7,0,24.2,64,7,29,0,100,0,0,0,0,0,0,0.000000,1712523,9957,90,1,9,237977,15,1528974,1526629,8876,58,8,6,19,9,890219,5176,72,7,15,6,0,0,0,0
Kipp Southeast Houston,101860,101 HARRIS,04,RE,4,794,87,13,1,0,79.6,4,5,4,0,1,97,0.6,.,0,.,70,91,98,80,75,98,68,81,.,.,70,.,.,.,.,.,72,50,1,4,3,69,3,19,52431,82417,53000,48724,77,11,15.9,86,2.7,24,34.9,62,10,26,2,96,4,0,0,0,0,0,0.000000,5294983,10506,80,6,14,1280623,21,4867208,4860759,9644,49,3,15,17,16,2389364,4741,77,5,16,0,0,0,2,0
The Rhodes School,101861,101 HARRIS,04,EX,1,298,66,29,4,1,79.5,0,5,0,0,17,95.7,.,.,0,.,91,.,.,90,.,.,91,.,80,.,91,.,.,.,.,.,29,17,2,5,0,60,0,33,134700,108233,.,40357,93,10.2,17.1,94.2,2.5,5.8,25.5,86,0,6,8,94,6,0,0,0,0,0,0.000000,1701526,13293,66,10,24,202262,14,1483011,1435155,11212,48,26,8,10,8,687029,5367,66,18,15,0,0,0,1,0
Harmony Sch of Sci-Houston,101862,101 HARRIS,04,EX,1,620,17,17,15,52,53.1,3,1,3,0,4,97.9,0,.,0,.,93,98,.,95,95,98,88,85,95,97,92,.,.,.,.,.,42,34,0,7,2,81,5,5,.,68545,26880,37785,31,14.8,18.3,94.1,1.6,11.8,28.3,3,12,76,9,88,0,0,9,0,4,0,0.000000,3413913,10041,74,13,13,-151640,-4,3302730,3221798,9476,47,12,9,24,8,1525729,4487,80,1,16,2,0,0,0,0
Aldine,101902,101 HARRIS,04,AA,72,62532,28,67,3,2,85.2,32,7,30,22,5,95.3,0.5,17.7,2652,71.4,78,90,94,86,84,97,72,80,83,92,77,91,52.2,9.5,870,17.2,8634,4238,1,3,8,49,11,28,84886,74592,61594,51698,68,7.2,14.8,48.1,9.7,23.7,11.4,36,21,41,2,72,9,9,3,4,3,211880,1.300000,555307706,9059,56,37,8,89252830,18,643040048,530720986,8658,58,5,6,9,22,307460573,5016,45,18,16,16,3,0,1,1
Alief,101903,101 HARRIS,04,RE,43,45410,34,49,4,13,78.5,37,8,36,14,4,94.7,0.4,12.7,2270,72.8,72,89,93,81,80,96,68,71,82,88,71,89,58.6,12.1,893,18.8,6129,3081,1,3,9,50,6,31,98088,75797,61378,51983,67,7.4,14.7,44.1,9.2,24,13.6,34,21,39,6,66,10,3,17,2,2,247970,1.340000,429963534,9527,49,39,12,78634073,23,435186093,380774208,8437,62,4,6,11,18,235590888,5220,54,16,12,13,2,1,1,2
Channelview,101905,101 HARRIS,04,AA,11,8628,14,71,14,2,76.8,27,9,25,19,4,95.7,0,13.8,390,72.8,72,86,92,83,77,94,66,72,75,83,70,74,52.6,7,884,18.6,1167,566,1,3,6,49,4,37,83857,76753,59916,51435,51,7.4,15.2,43.6,9.7,27.5,11.5,23,22,54,2,78,9,5,3,3,2,283797,1.251000,80468612,9416,48,41,12,23766233,37,78051846,69236382,8102,62,7,5,11,15,42925953,5023,64,16,11,2,3,0,2,2
Crosby,101906,101 HARRIS,04,RE,6,4997,20,25,54,1,47.4,7,8,4,14,4,95.1,0.6,2.4,310,90.1,74,90,94,81,85,95,66,68,80,81,67,91,57,17.7,1009,19.1,653,292,1,3,8,45,6,37,91221,69393,56159,47973,37,7.7,17.1,38.3,10.6,13.6,11.6,20,4,75,1,78,7,6,1,2,6,250729,1.440000,44539373,8956,54,39,7,3690175,10,40966262,35453577,7129,57,6,6,9,23,20140544,4050,58,17,7,2,3,7,4,2
Cypress-Fairbanks,101907,101 HARRIS,04,RE,78,103897,17,39,36,9,43.2,17,7,16,23,5,95.8,0.1,3.4,5614,87.3,83,93,96,88,89,98,72,76,92,94,73,93,62.8,36,1035,22,12860,6725,1,3,8,52,12,24,89451,68098,56072,48160,34,8.1,15.4,42.7,9.9,22,9.9,10,10,78,2,69,13,3,2,3,10,335871,1.410000,858408923,8541,38,55,7,68364467,10,1062493475,709374138,7058,63,4,5,9,19,443655513,4414,64,17,6,8,2,1,2,1
Deer Park,101908,101 HARRIS,04,RE,14,12436,3,44,51,2,42.3,10,10,11,15,7,95.4,0,3,890,87,86,94,96,92,92,97,80,81,90,94,79,96,39.8,30.6,1016,22.3,1775,840,1,2,8,47,12,29,124513,78658,62764,54620,23,7,14.8,29.9,13.6,31.6,8.5,1,11,88,0,75,12,0,6,3,4,603305,1.367000,216371109,17311,15,81,4,28603689,25,241487726,195481927,15640,33,5,3,48,11,64334417,5147,56,20,7,7,3,4,2,1
North Forest,101909,101 HARRIS,04,AU,10,7662,68,31,1,0,99.9,14,8,12,21,3,94.8,0.5,46.3,222,42.5,61,80,87,71,78,88,58,68,69,43,61,69,75.1,1.4,752,14.6,1033,502,1,3,10,49,6,31,96194,63209,54112,47706,96,7.4,15.3,50.8,11.1,36.9,11.5,81,6,6,8,70,10,9,4,5,2,212053,1.350000,71892394,9104,49,33,18,-1535142,-3,80396423,70063092,8872,49,15,4,17,16,34139523,4323,56,11,27,0,5,0,1,0
Galena Park,101910,101 HARRIS,04,AA,24,21409,19,74,6,1,77,28,9,28,30,6,95.9,0.4,5.8,1298,82.6,81,91,96,90,89,98,80,81,84,96,80,85,41.4,10.6,898,17.5,3094,1573,1,2,9,51,5,32,103718,72772,59276,49054,63,6.9,13.6,44.4,9.3,24.9,9.2,25,27,43,5,62,9,2,17,5,6,275560,1.478000,216337652,10201,50,39,11,21272266,13,215615442,185842441,8763,58,6,5,12,18,107794372,5083,65,14,12,2,4,0,2,1
Goose Creek Cons,101911,101 HARRIS,04,RE,23,20819,18,52,28,2,63.3,12,10,11,18,7,95.1,0.2,12.4,1103,78.8,76,90,95,84,83,95,69,75,83,86,71,91,32.5,21,956,20.9,2875,1463,1,3,7,51,7,31,91903,74038,61298,50503,39,7.2,14.2,41.7,10.7,25,10,12,15,73,1,83,10,3,0,4,0,424206,1.282000,220175464,10730,29,62,10,43742066,25,243576804,184388179,8986,57,6,6,13,19,104461729,5091,66,16,9,1,3,2,2,2
Houston,101912,101 HARRIS,04,AA,294,200944,27,62,8,3,79.9,31,8,29,17,14,95.1,0.6,15.8,8595,70,72,87,93,81,80,94,65,71,91,93,69,88,66.8,22.2,933,19.7,24735,12027,0,2,12,49,7,30,102143,78780,61363,52535,71,8.1,16.7,36.3,11.8,29.2,11.1,36,22,37,4,78,9,1,2,3,7,546240,1.157000,2020591636,10127,25,64,11,240593882,15,2179341581,1841875640,9231,59,5,7,12,18,1076770640,5397,55,14,14,12,3,1,1,1
Humble,101913,101 HARRIS,04,RE,40,34689,18,26,51,4,32.5,9,8,9,17,8,95.3,0,4.7,2140,86.5,81,93,94,88,88,97,68,75,89,87,69,92,68.5,39.1,1037,22.6,4761,2426,1,3,11,51,8,25,85599,72636,54180,46844,28,7.3,14.3,42.2,9.9,20.9,16.8,8,10,81,1,73,13,3,4,3,5,288005,1.520000,338992602,10052,43,52,5,64055331,25,394144352,252602028,7490,60,4,6,11,19,150434385,4461,62,21,4,4,3,3,2,2
Katy,101914,101 HARRIS,04,RE,55,58444,10,31,48,11,29.1,14,8,13,16,6,96.4,0.1,2.9,3539,91.5,88,96,98,92,92,98,77,81,93,96,77,96,74.7,46.3,1082,23.6,7579,4120,1,2,7,54,8,28,108332,79085,62940,50374,30,7.7,14.2,36.9,10.9,22.6,8.7,5,10,83,2,71,10,5,3,3,8,329534,1.527000,540051149,9611,39,56,5,73692155,17,562249309,434906235,7740,62,4,6,11,17,268394725,4776,70,17,4,2,3,3,2,1
Klein,101915,101 HARRIS,04,RE,40,44695,16,33,43,9,36.2,13,7,13,24,6,95.5,0.1,7,2760,84.4,82,93,96,88,89,97,70,74,90,90,71,90,68,36.7,1035,22.5,5724,2938,1,3,7,51,7,32,100186,70728,61440,51719,32,7.8,15.2,32.8,12.4,22.7,10.1,9,10,80,2,70,13,1,3,4,9,289629,1.360000,386667260,8860,44,49,7,47326433,15,463350366,334068580,7655,60,4,6,11,19,199932443,4581,66,15,6,6,4,1,2,1
La Porte,101916,101 HARRIS,04,RE,14,7818,9,39,51,2,44.6,8,10,7,13,8,95.6,0,3.9,508,91.9,80,95,95,86,86,97,66,79,84,82,73,93,.,22.3,974,20.1,1166,506,1,3,9,43,9,35,109874,73250,58966,50976,32,6.7,15.4,36.5,11.6,19.1,10.5,9,11,79,2,76,9,5,3,3,4,786594,1.325000,87171039,11051,22,72,6,21886293,26,137163832,74170242,9403,56,8,5,13,18,41481811,5259,59,15,7,3,3,9,2,3
Pasadena,101917,101 HARRIS,04,AA,61,51923,8,78,12,4,78.9,29,7,25,16,5,95.5,0.1,14.9,2428,71.4,72,88,95,81,79,95,64,71,80,90,70,86,40.3,17,935,19.8,7147,3442,1,2,8,48,9,32,88260,75595,57716,48436,51,7.3,15.1,48.7,9.7,18.7,11.6,8,27,61,3,67,11,0,16,3,4,202751,1.350000,487814380,9515,54,35,12,58288135,16,510944400,433620234,8458,59,5,7,13,17,254061359,4956,59,15,13,3,3,3,1,3
