CDN,DISTRICT NAME,"2004-2005
ADA","2004-2005
WADA","2005-2006
ADA","2005-2006
WADA","2006-2007
ADA","2006-2007
WADA","2007-2008
ADA","2007-2008
WADA","2008-2009
ADA","2008-2009
WADA","2009-2010
ADA","2009-2010
WADA","2010-2011
ADA","2010-2011
WADA","2011-2012
ADA","2011-2012
WADA","2012-2013
ADA","2012-2013
WADA","2013-2014
ADA","2013-2014
WADA"," 2014-2015
ADA"," 2014-2015
WADA","2015-2016
ADA","2015-2016 
WADA"
101818,AMERICAN ACADEMY OF EXCELLENCE CHA,115.426,186.0980736,93.726,166.5216969,109.098,173.2059216,0,0,0,0,,,,,,,,,,,,,,
227801,AMERICAN YOUTHWORKS CHARTER SCHOOL,352.957,491.9055753,316.122,442.0368776,289.229,418.983975,242.995,391.7765765,228.363,357.0079014,197.304,329.644,156.172,275.651,84.353,179,94.129,172.554,109.218,212.537,,,,
140901,AMHERST ISD,192.347,354.2730039,186.211,337.5530432,181.145,336.8300271,173.175,321.29,152.99,288.145,161.211,303.037,156.877,304.149,139.449,281.55,149.494,281.106,138.854,275.399,150.7,287.67,141.44,281.812
101819,AMIGOS POR VIDA-FRIENDS FOR LIFE P,252.039,394.2435679,279.047,415.2857985,320.827,484.1615178,384.977,586.5259356,422.48,660.3589164,428.994,714.846,414.355,702.578,424.061,667.737,443.402,727.746,450.87,764.578,448.834,756.099,471.976,787.464
036901,ANAHUAC ISD,1382.669,1981.884407,1362.177,1964.712588,1334.832,1939.281331,1327.388,1940.637,1316.487,1937.86,1213.716,1865.547,1164.798,1800.552,1132.125,1659.062,1126.355,1720.467,1166.106,1780.252,1156.904,1775.783,1212.137,1861.446
093901,ANDERSON-SHIRO CISD,513.597,824.8317035,556.282,880.8463832,572.173,899.2618508,582.48,912.267,597.97,929.673,642.015,988.792,681.265,1056.709,672.868,975.869,689.023,1042.021,725.738,1094.582,772.088,1154.841,802.531,1203.56
002901,ANDREWS ISD,2662.367,3602.068245,2698.61,3594.532051,2764.905,3630.630083,2799.608,3607.099,2851.753,3609.743,2881.894,3864.901,2976.633,3979.62,3157.862,3907.622,3366.741,4332.617,3553.745,4590.735,3753.993,4847.802,3749.55,4817.596
020902,ANGLETON ISD,5910.509,7742.763889,5932.785,7789.893671,5904.62,7735.538545,5875.391,7700.561,5760.235,7689.205,5812.318,7707.364,5958.129,7777.724,5931.139,7336.943,6059.575,7824.976,6150.857,8055.09,6291.873,8221.975,6366.157,8335.889
043902,ANNA ISD,1182.892,1681.844927,1465.502,1962.953302,1750.728,2374.027478,1905.995,2556.354,2028.068,2698.269,2098.43,2806.156,2168.802,2900.647,2209.516,2795.533,2382.097,3115.679,2470.442,3278.341,2730.681,3613.93,2917.615,3875.005
127901,ANSON ISD,708.756,1219.547413,683.612,1166.658791,716.183,1189.162246,691.895,1150.317,694.127,1143.873,680.544,1137.328,644.922,1077.111,632,1003.045,639.898,1026.105,669.812,1082.27,668.285,1094.724,651.832,1077.23
071906,ANTHONY ISD,692.022,1220.104856,724.864,1235.78105,714.56,1224.698515,706.083,1233.785,713.046,1219.051,766.162,1238.562,772.767,1257.721,769.264,1183.886,773.828,1233.393,754.702,1251.072,786.5,1298.759,773.508,1292.149
110901,ANTON ISD,347.014,621.5590291,353.228,628.0388153,339.629,601.2973529,312.08,551.763,291.416,519.858,263.877,483.741,227.737,414.876,226.969,390.483,231.309,415.718,227.83,409.094,228.659,408.276,225.117,401.984
228905,APPLE SPRINGS ISD,200.544,370.0768189,185.388,336.9467501,173.755,320.2426979,187.619,338.955,195.151,345.596,188.809,339.18,171.507,320.687,181.547,310.147,187.361,339.476,173.633,320.448,171.83,312.24,164.952,301.827
109912,AQUILLA ISD,188.015,325.4157276,203.661,343.0035854,196.134,338.6864248,203.985,348.701,208.227,346.054,229.039,375.439,241.748,408.086,251.502,394.977,267.87,440.338,261.781,431.101,246.056,409.552,245.386,411.597
004901,ARANSAS COUNTY ISD,3097.698,4176.240448,3079.008,4137.602108,3014.322,4056.768623,2920.657,3886.957,2840.057,3754.991,2916.066,4064.431,2847.702,3994.992,2919.411,3819.268,2940.199,3997.093,2998.329,4094.012,3064.265,4199.29,3160.794,4325.899
205901,ARANSAS PASS ISD,1952.137,2904.928646,1977.324,2947.060611,1927.419,2886.971401,1868.887,2787.813,1819.661,2707.85,1760.522,2599.366,1638.196,2413.944,1652.285,2318.38,1712.758,2472.217,1719.297,2510.834,1690.451,2483.572,1687.403,2445.55
005901,ARCHER CITY ISD,511.298,925.1210174,494.988,879.9843283,458.82,838.424648,436.635,802.463,428.54,786.134,452.198,817.472,471.815,851.754,474.267,793.986,463.11,812.51,456.885,844.797,440.256,819.414,423.941,787.611
061910,ARGYLE ISD,1431.796,1762.899128,1554.069,1856.303724,1615.852,1891.05456,1658.141,1911.824,1657.29,1906.848,1687.998,2132.193,1737.178,2204.901,1722.65,2048.737,1781.208,2205.343,1854.737,2331.866,1966.789,2464.992,2136.902,2653.123
101803,ARISTOI CLASSICAL ACADEMY,176.431,225.7301986,132.1,176.1952731,165.136,205.0699129,239.513,298.3529177,291.446,371.6664667,287.104,394.837,285.065,395.819,291.834,385.947,312.781,435.189,417.69,573.171,514.932,702.252,628.147,853.016
220802,ARLINGTON CLASSICS ACADEMY,262.523,315.9584309,344.348,410.6401052,386.329,463.3355251,421.832,509.7374321,443.515,538.7577882,482.423,620.2,478.823,619.902,960.093,1150.365,1134.264,1467.573,1245.59,1659.426,1355.379,1810.753,1397.727,1858.843
220901,ARLINGTON ISD,57521.527,73972.96871,58158.832,75028.65126,57730.158,75086.68157,57379.914,74620.853,57480.584,74974.618,57902.327,75743.043,59075.624,77483.248,59279.408,75455.745,59601.337,76082.426,59244.534,78840.278,58513.752,78484.217,58225.962,78021.79
212901,ARP ISD,867.443,1355.703443,839.772,1313.122399,829.803,1287.86022,826.212,1243.219,806.504,1220.111,824.137,1221.628,839.05,1246.993,827.03,1164.789,820.845,1199.956,796.634,1212.963,794.649,1206.491,777.213,1188.589
021805,ARROW ACADEMY,,,,,,,,,,,,,,,534.477,772.217,827.938,1197.866,865.03,1335.224,800.777,1261.802,501.08,822.64
217901,ASPERMONT ISD,213.111,439.7305495,216.558,430.7451352,224.062,438.8525736,229.757,445.388,223.292,435.738,215.391,414.585,215.299,418.808,235.985,435.212,228.181,433.788,228.634,441.003,231.293,450.683,225.311,430.626
107901,ATHENS ISD,3306.121,4460.49965,3270.023,4480.574946,3174.524,4341.743815,3195.453,4316.287,3194.513,4321.207,3169.747,4338.794,3163.992,4352.634,3156.513,4106.538,3103.503,4224.797,3115.041,4303.791,3018.217,4228.096,2963.4,4160.533
034901,ATLANTA ISD,1814.737,2602.214891,1815.82,2600.389036,1806.687,2561.329929,1766.717,2495.944,1739.369,2435.486,1682.84,2377.377,1646.8,2346.343,1603.864,2176.337,1688.496,2351.284,1683.828,2378.001,1642.135,2329.804,1615.86,2279.659
061907,AUBREY ISD,1160.247,1601.282528,1272.293,1725.013736,1417.866,1869.957261,1547.848,2061.907,1601.881,2131.435,1671.661,2205.17,1784.139,2372.18,1803.587,2239.845,1859.884,2400.071,1936.782,2514.532,2071.135,2670.991,2166.253,2791.829
227825,AUSTIN ACHIEVE PUBLIC SCHOOLS,,,,,,,,,,,,,,,,0,109.261,179.952,248.912,381.916,387.11,631.948,522.475,861.088
227818,AUSTIN CAN ACADEMY CHARTER SCHOOL,236.771,406.092,235.419,404.478,226.541,380.994,254.661,451.815,271.345,486.236,280.162,499.025,277.373,499.12,272.197,467.797,307.858,519.615,,,,,,
227821,AUSTIN DISCOVERY SCHOOL,,,130.239,169.074,194.943,259.713,218.485,296.212,227.421,303.022,299.384,397.477,353.733,470.004,373.606,477.332,377.377,507.864,352.8,491.077,460.589,621.128,508.854,700.474
227901,AUSTIN ISD,72312.407,96342.56273,73497.964,97913.01887,74202.228,98491.55076,74622.787,98596.764,75606.505,99653.634,76726.687,101475.563,77981.953,103314.313,78917.028,98906.759,78964.455,103282.479,77974.496,103210.773,77359.464,102266.15,76453.684,101004.613
196901,AUSTWELL-TIVOLI ISD,152.569,284.4531649,173.142,310.4003223,166.476,294.309361,152.505,266.432,149.324,257.72,151.714,260.75,149.569,253.28,144.703,230.714,146.048,243.843,154.579,253.772,151.502,251.034,144.118,236.421
070901,AVALON ISD,207.494,381.4998901,210.976,382.2322178,224.052,405.2132457,245.783,438.095,275.949,482.078,281.111,491.269,282.347,499.032,266.277,469.366,285.931,506.601,304.899,540.856,328.543,583.536,335.836,593.565
194902,AVERY ISD,399.852,687.4784931,405.12,689.1889908,400.826,671.6692024,387.586,649.228,396.05,652.322,383.178,640.816,367.794,626.126,376.87,599.297,362.976,600.225,336.381,576.065,332.646,574.79,331.728,586.645
034902,AVINGER ISD,145.77,281.4518598,147.71,273.3214238,143.932,274.2103892,137.599,254.059,131.774,255.204,123.779,250.893,128.36,264.5,120.068,251.885,116.111,244.09,141.733,260.393,146.337,272.148,135.676,257.806
161918,AXTELL ISD,718.709,1558.867948,724.432,1568.667157,730.684,1534.499637,739.855,1440.419,739.895,1402.269,715.848,1287.103,742.625,1333.751,712.116,1236.69,736.924,1314.717,717.932,1300.835,719.817,1286.625,728.449,1298.119
220915,AZLE ISD,5512.875,6962.121938,5468.95,6965.646915,5422.067,6894.829952,5432.26,6863.48,5408.829,6880.261,5383.38,6757.013,5412.498,6866.487,5523.785,6568.806,5507.759,6862.078,5614.745,7102.379,5744.955,7294.347,5856.362,7433.843
212803,AZLEWAY CHARTER SCHOOL,88.744,327.9801609,93.827,359.1849228,86.889,298.559075,131.906,424.6415686,118.765,416.3078002,137.067,500.788,122.327,435.98,135.21,425.536,147.436,480.172,150.001,446.078,,,,
030903,BAIRD ISD,348.102,703.4440955,315.03,648.9740434,318.429,647.589124,304.418,622.6,285.707,577.239,302.422,604.879,280.59,572.033,272.284,530.993,267.958,536.894,295.07,588.075,294.725,597.259,301.784,604.172
200901,BALLINGER ISD,995.879,1656.828628,964.11,1606.842137,923.637,1525.386524,895.131,1503.949,922.081,1525.331,933.49,1556.01,920.363,1531.709,901.895,1418.917,877.511,1454.538,885.564,1488.204,893.887,1480.796,881.053,1485.99
195902,BALMORHEA ISD,181.261,393.7455381,175.479,375.4497338,144.811,317.5430455,136.334,319.114,153.916,326.986,148.914,319.158,149.464,323.747,139.784,280.778,149.209,310.972,151.863,322.078,149.129,319.254,147.714,320.705
010902,BANDERA ISD,2435.577,3366.703159,2372.516,3304.341505,2348.122,3247.097575,2332.076,3211.683,2297.848,3177.462,2316.534,3205.378,2259.759,3152.253,2228.972,2893.598,2213.679,2969.994,2159.568,2950.876,2071.106,2845.84,2043.031,2803.669
025901,BANGS ISD,1086.412,1713.392242,1076.783,1672.872876,1066.655,1652.620211,1042.631,1584.175,1027.908,1524.602,1031.428,1529.127,1020.684,1519.775,994.85,1399.544,944.177,1399.732,995.151,1467.238,963.377,1439.474,938.854,1393.218
178913,BANQUETE ISD,813.743,1318.0838,814.532,1315.096165,828.074,1330.926909,805.769,1308.321,783.112,1269.156,777.253,1233.87,748.278,1222.668,758.926,1207.396,797.923,1273.655,815.272,1306.912,845.781,1346.768,868.589,1383.505
036902,BARBERS HILL ISD,3091.046,3578.177752,3308.869,3802.041344,3377.353,3888.503074,3534.88,4068.232,3699.028,4283.33,3883.835,4690.375,3988.77,4774.291,4194.49,4687.834,4293.46,5048.672,4452.932,5304.411,4656.574,5550.241,4785.415,5694.66
014902,BARTLETT ISD,416.99,714.6982974,393.706,675.5234013,372.239,635.0385936,354.375,600.946,364.229,618.354,354.074,604.433,342.852,607.017,362.657,598.533,384.576,654.697,360.623,638.503,350.713,622.078,339.918,584.57
015834,BASIS TEXAS,,,,,,,,,,,,,,,,,,,468.198,593.292,1006.095,1269.383,1246.505,1572.421
011901,BASTROP ISD,7189.5,9374.054482,7381.188,9782.566088,7530.39,9932.113843,7832.415,10255.877,8030.404,10553.737,8174.829,10801.45,8406.847,11153.869,8453.762,10664.804,8627.34,11397.63,8848.359,11798.879,9214.557,12267.637,9529.246,12688.952
